;n;f1-score;accuracy;classifier;time
0;0;0.7559376107763205;0.7528205128205128;RandomForestClassifier;8.722889750000832
1;0;0.7203502304147466;0.7174358974358974;LogisticRegression;8.252036583000518
2;0;0.7292860549444726;0.7256410256410257;SVC;8.562206333999711
3;0;0.7134611420325706;0.7107692307692308;MLPClassifier;8.392934708999746
4;1;0.7187542628325009;0.7261296258433858;RandomForestClassifier;6.587883374999365
5;1;0.7157881888191039;0.7279697403393989;LogisticRegression;9.360578416999488
6;1;0.7157881888191039;0.7279697403393989;SVC;9.4683093750009
7;1;0.6907328390652331;0.6968922510734001;MLPClassifier;8.724152624999988
8;2;0.7404896421845575;0.7344877344877345;RandomForestClassifier;9.066873916999612
9;2;0.6660114140773621;0.6594516594516595;LogisticRegression;6.541290707998996
10;2;0.6594202898550725;0.652958152958153;SVC;7.523464083000363
11;2;0.6629946524064171;0.6565656565656566;MLPClassifier;7.35258475000046
12;3;0.7170610575518551;0.7133333333333334;RandomForestClassifier;6.799274250000963
13;3;0.7025513681955401;0.698974358974359;LogisticRegression;9.143765249998978
14;3;0.7146528687252549;0.7112820512820512;SVC;8.781753875000504
15;3;0.7189525740126084;0.7153846153846154;MLPClassifier;7.279457709000781
16;4;0.6713436704052906;0.6688149688149688;RandomForestClassifier;6.858358207999117
17;4;0.6633941888634686;0.661122661122661;LogisticRegression;6.180047290999937
18;4;0.6792281429094014;0.6765072765072765;SVC;8.310984791998635
19;4;0.6685843601868304;0.666943866943867;MLPClassifier;7.506571500000064
