;n;f1-score;accuracy;classifier;time
0;0;0.5113802397992379;0.4847303443794672;RandomForestClassifier;6.444852750000791
1;0;0.5094411158958997;0.4792072774528915;LogisticRegression;7.0539715830000205
2;0;0.505130074007625;0.47855750487329435;SVC;7.410893832999136
3;0;0.5304305283757338;0.5025990903183886;MLPClassifier;9.043666625000697
4;1;0.529889394925179;0.5025990903183886;RandomForestClassifier;8.473414542000683
5;1;0.524608967674661;0.4915529564652372;LogisticRegression;7.327385332999256
6;1;0.5094155844155844;0.4837556855100715;SVC;9.416945041999497
7;1;0.5142022263450835;0.48538011695906436;MLPClassifier;7.495993209000517
8;2;0.4994465582843306;0.47433398310591296;RandomForestClassifier;9.251692541998636
9;2;0.5145051938485592;0.47945374291411796;LogisticRegression;6.818097375000434
10;2;0.5015320910973085;0.47400909681611436;SVC;6.192072166999424
11;2;0.45968740394858176;0.4248728462279581;MLPClassifier;8.557521417000316
12;3;0.5188775510204081;0.4915529564652372;RandomForestClassifier;8.622140999999829
13;3;0.5439067669172932;0.5032936748000268;LogisticRegression;6.006464333999247
14;3;0.5125476564252074;0.4847303443794672;SVC;7.715177041000061
15;3;0.4633126293995859;0.43794671864847307;MLPClassifier;8.912975334000294
16;4;0.5308470290771176;0.5035737491877842;RandomForestClassifier;6.828191417000198
17;4;0.5383576127819549;0.4974457215836526;LogisticRegression;6.989829374999317
18;4;0.5660005391760409;0.533586520579866;SVC;6.788046125000619
19;4;0.5204808276177868;0.4789272030651341;MLPClassifier;6.217835250001372
20;5;0.518809839167455;0.4902534113060429;RandomForestClassifier;6.887272416999622
21;5;0.5260326805100612;0.4845286908202819;LogisticRegression;6.087790000001405
22;5;0.5551562630917469;0.5196164101185275;SVC;8.474205582999275
23;5;0.5309738537324744;0.49707602339181284;MLPClassifier;8.457389958000931
24;6;0.5684704557620955;0.5389863547758285;RandomForestClassifier;9.56226479200086
25;6;0.568981018981019;0.5389863547758285;LogisticRegression;7.720893582998542
26;6;0.5520103324348606;0.5207927225471085;SVC;8.867056041000978
27;6;0.5561438561438562;0.5269655620532814;MLPClassifier;9.39125066700035
28;7;0.5861638361638362;0.5519818063677713;RandomForestClassifier;6.080013958000563
29;7;0.5736816972508356;0.5276153346328785;LogisticRegression;7.469733125000857
30;7;0.5698794730449407;0.5341130604288499;SVC;6.604329457999484
31;7;0.5571428571428572;0.5217673814165043;MLPClassifier;9.23479345800115
32;8;0.5370687123770371;0.5094217024041585;RandomForestClassifier;9.09653391700158
33;8;0.5199167627739056;0.47900562389370616;LogisticRegression;8.855186708000474
34;8;0.5049779371207943;0.4792072774528915;SVC;7.803803666998647
35;8;0.514536984754376;0.4805068226120858;MLPClassifier;7.7768645839987585
36;9;0.524853228962818;0.4967511371020143;RandomForestClassifier;8.737946875000489
37;9;0.5256437708821737;0.49740090968161144;LogisticRegression;8.427243957999963
38;9;0.525134014921249;0.49740090968161144;SVC;8.592871124999874
39;9;0.4851687090817526;0.4558154645873944;MLPClassifier;8.939473207999981
