;n;f1-score;accuracy;classifier;time
0;0;0.44520286784191104;0.44902597402597405;RandomForestClassifier;8.866873167000449
1;0;0.34331254517140913;0.35768398268398266;LogisticRegression;9.269321834000948
2;0;0.3784362934362934;0.39296536796536796;SVC;9.095741999999518
3;0;0.36660270160179514;0.40595238095238095;MLPClassifier;9.74480237500029
4;1;0.3968716693640706;0.4174450549450549;RandomForestClassifier;9.697915916000056
5;1;0.4290918892428327;0.4429181929181929;LogisticRegression;7.3797157909993985
6;1;0.3671880012045777;0.4023046398046398;SVC;9.67682833300023
7;1;0.3381323538862609;0.40235042735042736;MLPClassifier;9.780655250000564
8;2;0.5154799160062318;0.48062625433315087;RandomForestClassifier;7.191895584001031
9;2;0.41648222404647633;0.3801883780332056;LogisticRegression;7.685850291998577
10;2;0.48897140239513126;0.4489258347016968;SVC;8.360701875000814
11;2;0.4385828109719929;0.4093345192483123;MLPClassifier;7.547386833999553
12;3;0.4235485249305872;0.44713492808005006;RandomForestClassifier;8.214276374999827
13;3;0.35218751042561836;0.3925695747342089;LogisticRegression;8.769369749999896
14;3;0.34130708930309933;0.37319418386491554;SVC;9.671301665999636
15;3;0.3086299249850652;0.3299093183239525;MLPClassifier;9.416751000000659
16;4;0.4440946140416753;0.4391091685258977;RandomForestClassifier;6.666441125000347
17;4;0.41498974548272816;0.426189542515499;LogisticRegression;6.013930999999502
18;4;0.4520831941685221;0.4575011447667111;SVC;6.818328416999066
19;4;0.3929698917177289;0.4049074362746531;MLPClassifier;7.833176959000411
