;n;f1-score;accuracy;classifier;time
0;0;0.4448903801365807;0.4806377730796335;RandomForestClassifier;12.235627583999303
1;0;0.36068869688200395;0.3782152924594785;KNeighborsClassifier;11.273687875000178
2;0;0.40006857204779567;0.43906800563777304;SVC;16.23889166599838
3;0;0.40300617166422986;0.4596546863988724;MLPClassifier;18.00949558299908
4;1;0.4788018188707844;0.44785353535353534;RandomForestClassifier;16.516571832995396
5;1;0.40127160330675593;0.4073773448773449;KNeighborsClassifier;17.7217650829989
6;1;0.4363638284060062;0.40535714285714286;SVC;17.922295874988777
7;1;0.4164754424041545;0.4148088023088023;MLPClassifier;14.671098166989395
8;2;0.5179767907162866;0.5253968253968254;RandomForestClassifier;16.456788499999675
9;2;0.3716932654630681;0.38452380952380955;KNeighborsClassifier;17.466389958004584
10;2;0.4421052631578947;0.4380952380952381;SVC;16.7699591670098
11;2;0.4089213528818121;0.42023809523809524;MLPClassifier;11.930413915993995
12;3;0.4255878792937936;0.43885281385281383;RandomForestClassifier;17.833588749999763
13;3;0.35601235689470984;0.36688311688311687;KNeighborsClassifier;15.104535457998281
14;3;0.38833133490386373;0.378517316017316;SVC;16.205359333005617
15;3;0.3420256572695597;0.349025974025974;MLPClassifier;13.532678167000995
16;4;0.48161234643110973;0.44838772338772337;RandomForestClassifier;14.029779500007862
17;4;0.3627593537414966;0.3606837606837607;KNeighborsClassifier;13.62185429201054
18;4;0.43696834123966155;0.40501165501165504;SVC;15.630234040989308
19;4;0.39702176063224315;0.38784965034965035;MLPClassifier;14.007068624996464
20;5;0.3929841482047364;0.40806916547403393;RandomForestClassifier;18.616972416988574
21;5;0.45145643125671325;0.45120669729408125;KNeighborsClassifier;18.478949666998233
22;5;0.4564652014652015;0.44843089849815676;SVC;18.091335958000855
23;5;0.44349069728990914;0.4495257668098292;MLPClassifier;18.443717750007636
24;6;0.43537333593724575;0.46644820971867007;RandomForestClassifier;13.577952583000297
25;6;0.43383195619733916;0.43088235294117644;KNeighborsClassifier;16.96171575000335
26;6;0.4134203724871805;0.43037084398976977;SVC;12.398002374990028
27;6;0.42405431727810644;0.42733375959079284;MLPClassifier;17.629995166993467
28;7;0.4150295578423351;0.42861398330148326;RandomForestClassifier;13.572386291998555
29;7;0.4021243524267246;0.3981509919009919;KNeighborsClassifier;12.383280624999315
30;7;0.40627875407032854;0.41334658522158524;SVC;16.63049762501032
31;7;0.40376571099975356;0.40801028301028297;MLPClassifier;18.29657083400525
32;8;0.43021516414373556;0.4217032967032967;RandomForestClassifier;18.572363875005976
33;8;0.3582985692654738;0.3633699633699634;KNeighborsClassifier;16.803606209010468
34;8;0.46531672114364764;0.45597527472527466;SVC;18.451001291003195
35;8;0.4077800953997898;0.3973443223443224;MLPClassifier;17.817278415997862
36;9;0.4021393140589569;0.426090169992609;RandomForestClassifier;18.25679929200851
37;9;0.38450904708529626;0.4033628972653363;KNeighborsClassifier;18.85152687500522
38;9;0.4566955807558056;0.4725609756097561;SVC;19.114161500008777
39;9;0.39415937304557164;0.4115391722099039;MLPClassifier;14.855145958004869
