;n;f1-score;accuracy;classifier;time
0;0;0.7304029304029304;0.7214640198511166;RandomForestClassifier;13.488763832996483
1;0;0.6624458479043791;0.6557071960297767;KNeighborsClassifier;10.939039457996842
2;0;0.7170442932087785;0.7086435070306039;SVC;15.682628791997558
3;0;0.7237244897959184;0.7150537634408602;MLPClassifier;15.24472895899089
4;1;0.7586924055534046;0.7380952380952381;RandomForestClassifier;11.618986458997824
5;1;0.6304457527333894;0.6190476190476191;KNeighborsClassifier;12.419065791997127
6;1;0.7533216783216783;0.7351190476190477;SVC;15.379166458995314
7;1;0.7343956220827298;0.7202380952380953;MLPClassifier;14.06768429200747
8;2;0.7887634105025408;0.7841025641025641;RandomForestClassifier;15.690262666990748
9;2;0.6274994846423418;0.6246153846153846;KNeighborsClassifier;11.798569792008493
10;2;0.7596273291925466;0.7553846153846153;SVC;14.201226333010709
11;2;0.7272243885147112;0.724102564102564;MLPClassifier;12.048199583005044
12;3;0.7255298965404796;0.7243917399304846;RandomForestClassifier;17.29891608300386
13;3;0.6571428571428571;0.6583520752402372;KNeighborsClassifier;17.501445333997253
14;3;0.7270047412904557;0.7256184829278266;SVC;15.994800999993458
15;3;0.7043069457082195;0.703230423226334;MLPClassifier;17.321530291999807
16;4;0.7839478213606305;0.7749999999999999;RandomForestClassifier;12.576208833008423
17;4;0.6516391333436262;0.65;KNeighborsClassifier;16.14755054199486
18;4;0.7627329192546584;0.7541666666666667;SVC;11.503991750010755
19;4;0.7571428571428571;0.7520833333333333;MLPClassifier;12.567172583003412
20;5;0.7824702631262765;0.7767269736842105;RandomForestClassifier;16.696105333991
21;5;0.6921437788018433;0.688733552631579;KNeighborsClassifier;15.321719915998983
22;5;0.7611586777230949;0.7557565789473684;SVC;12.555503958996269
23;5;0.7126849079536358;0.708470394736842;MLPClassifier;14.706165249997866
24;6;0.6906666666666667;0.6700486155146903;RandomForestClassifier;13.065658249994158
25;6;0.6483767791460099;0.6333756076939336;KNeighborsClassifier;15.019461707997834
26;6;0.6989300925304022;0.6788205453392517;SVC;13.620022709001205
27;6;0.6860002977659716;0.6667723525681675;MLPClassifier;17.251940417001606
28;7;0.735619661398394;0.7349212839910039;RandomForestClassifier;17.487855041996227
29;7;0.6787190911278502;0.6789000204457166;KNeighborsClassifier;16.885266459008562
30;7;0.7213288322847936;0.7206092823553465;SVC;14.875454875000287
31;7;0.6854568854568854;0.6845225925168676;MLPClassifier;12.987832999991952
32;8;0.6983438969535882;0.7088815789473684;RandomForestClassifier;16.927505874991766
33;8;0.6359187422098795;0.6398026315789473;KNeighborsClassifier;14.291624917008448
34;8;0.7207887003507442;0.7286184210526316;SVC;12.43194195900287
35;8;0.6926534152617116;0.6986019736842105;MLPClassifier;20.085409208011697
36;9;0.7453416149068324;0.7463235294117647;RandomForestClassifier;16.51578345800226
37;9;0.6258915687487115;0.6262254901960784;KNeighborsClassifier;19.234255208997638
38;9;0.7530952380952382;0.7536764705882353;SVC;13.060188792005647
39;9;0.753967924584235;0.7540849673202614;MLPClassifier;17.927104750007857
