;n;f1-score;accuracy;classifier;time
0;0;0.5251149005348333;0.5465569017293155;RandomForestClassifier;19.337326250009937
1;0;0.49484036548292026;0.4930171550861206;KNeighborsClassifier;14.263256790989544
2;0;0.5089160839160839;0.5408684546615582;SVC;18.37215962499613
3;0;0.5410098329453167;0.5613717165441304;MLPClassifier;18.004297249994124
4;1;0.5239332096474953;0.49685990338164254;RandomForestClassifier;19.023164708007243
5;1;0.5063997906855049;0.48733832008726824;KNeighborsClassifier;19.53887016599765
6;1;0.5739376207161729;0.5422744273024778;SVC;16.247832292006933
7;1;0.5219755831815096;0.49023297491039425;MLPClassifier;14.00620787499065
8;2;0.5730139743297639;0.529032258064516;RandomForestClassifier;19.883670458002598
9;2;0.48592550846193366;0.44517665130568357;KNeighborsClassifier;12.834723457999644
10;2;0.558178329185112;0.5129032258064515;SVC;19.721411207996425
11;2;0.5420704154903906;0.48703533026113677;MLPClassifier;16.428649499997846
12;3;0.5702112702112702;0.4946097126875159;RandomForestClassifier;19.85255875000439
13;3;0.4927385588381694;0.4155352148487159;KNeighborsClassifier;19.039006166000036
14;3;0.5678195230742838;0.4881769641495042;SVC;19.284560125001008
15;3;0.5513092113485815;0.46507754894482584;MLPClassifier;18.579435541003477
16;4;0.6417563388991961;0.5420972062763108;RandomForestClassifier;12.772566375002498
17;4;0.524364672273905;0.4896989411914785;KNeighborsClassifier;12.8492426249868
18;4;0.6516935766935767;0.5499425947187141;SVC;12.950378958004876
19;4;0.675;0.5821487799099739;MLPClassifier;13.271109124994837
20;5;0.5783549783549784;0.5329861111111112;RandomForestClassifier;12.036301000000094
21;5;0.5425363252387292;0.5022321428571429;KNeighborsClassifier;13.81954491599754
22;5;0.5734545873143777;0.5243055555555555;SVC;12.295834749995265
23;5;0.5333333333333332;0.47222222222222215;MLPClassifier;16.7248523330054
24;6;0.5199828473413378;0.5124732715609408;RandomForestClassifier;17.05741824999859
25;6;0.4625699989026863;0.4482242237053356;KNeighborsClassifier;14.854333291994408
26;6;0.5327315541601255;0.5269660251841293;SVC;15.318412624998018
27;6;0.49339570837205377;0.4761225944404847;MLPClassifier;18.34727287500573
28;7;0.5825579363137474;0.5181202708084428;RandomForestClassifier;15.850466624993715
29;7;0.5999058494211722;0.5508761449621664;KNeighborsClassifier;17.396025125010055
30;7;0.5850393839539022;0.5173237753882916;SVC;11.286334959004307
31;7;0.5635677912730545;0.5014436479490243;MLPClassifier;12.538782208997873
32;8;0.5842289095103097;0.5045419472502806;RandomForestClassifier;17.938364292000188
33;8;0.48823391812865496;0.4151585297418631;KNeighborsClassifier;17.54992575000506
34;8;0.6079613095238096;0.5253752805836139;SVC;16.12863500000094
35;8;0.5964705151308022;0.5011749438832772;MLPClassifier;12.911983375001
36;9;0.5951643815420905;0.5297979797979798;RandomForestClassifier;16.308651708997786
37;9;0.5932356121590774;0.5313131313131313;KNeighborsClassifier;12.780091790991719
38;9;0.5786454010753076;0.5186868686868688;SVC;14.263322834012797
39;9;0.574458899537106;0.4991919191919192;MLPClassifier;15.324572875004378
