;n;f1-score;accuracy;classifier;time
0;0;0.731284355640869;0.7320675105485233;RandomForestClassifier;6.912618834001478
1;0;0.7133525359467496;0.7133235962349886;KNeighborsClassifier;6.553897875000985
2;0;0.7246393235749367;0.7256572541382669;SVC;6.048686542002542
3;0;0.7192667391642069;0.7194904251866278;MLPClassifier_HLs(100);6.337237499999901
4;1;0.7341888347695766;0.738011988011988;RandomForestClassifier;6.75570187500125
5;1;0.6388232598634468;0.6347818847818848;KNeighborsClassifier;5.935936249999941
6;1;0.6770768788477222;0.676073926073926;SVC;6.316115790999902
7;1;0.6962158111652305;0.6988011988011988;MLPClassifier_HLs(100);6.616334500002267
8;2;0.732549218297626;0.7326185834957765;RandomForestClassifier;8.320010999999795
9;2;0.6555469597446422;0.6548895386614685;KNeighborsClassifier;5.92163229200014
10;2;0.6875934137251626;0.6869720597790774;SVC;6.347715125000832
11;2;0.6748421244894549;0.6742202729044835;MLPClassifier_HLs(100);9.50783095800216
12;3;0.7576644878901614;0.7552287581699346;RandomForestClassifier;9.062893542002712
13;3;0.7328760730648536;0.7327614379084968;KNeighborsClassifier;6.228600124999502
14;3;0.7004655492754722;0.6980392156862745;SVC;7.708125541998015
15;3;0.7562820734104849;0.7520424836601307;MLPClassifier_HLs(100);8.332546416000696
16;4;0.7835627362643054;0.7834581569521328;RandomForestClassifier;7.386492958001327
17;4;0.6753437668394384;0.6766525561706285;KNeighborsClassifier;6.680391375000909
18;4;0.6879996476542452;0.6872354281992836;SVC;6.642157165999379
19;4;0.6877709549054756;0.6865027678280691;MLPClassifier_HLs(100);7.3152193749992875
20;5;0.796428698095848;0.7951559934318555;RandomForestClassifier;7.166991040998255
21;5;0.7070063694267515;0.7035303776683086;KNeighborsClassifier;6.321923332998267
22;5;0.6815286624203821;0.6777504105090313;SVC;6.939085250000062
23;5;0.6946430471437721;0.6920361247947455;MLPClassifier_HLs(100);8.26301308300026
24;6;0.7251105484338745;0.7257383966244726;RandomForestClassifier;8.653839833001257
25;6;0.7514713445610867;0.751460564751704;KNeighborsClassifier;5.972445291998156
26;6;0.6937455336336803;0.6940116845180136;SVC;7.607318915997894
27;6;0.7197224823605537;0.7198149951314508;MLPClassifier_HLs(100);7.907924791001278
28;7;0.7580010626047876;0.7585282651072125;RandomForestClassifier;7.193808791002084
29;7;0.6856462162450803;0.6853476283300844;KNeighborsClassifier;7.902156084001035
30;7;0.6687898089171974;0.6684535412605588;SVC;6.414818833000027
31;7;0.732549218297626;0.7326185834957765;MLPClassifier_HLs(100);7.1330178339994745
32;8;0.7518348534720956;0.7517123287671232;RandomForestClassifier;7.097172374997172
33;8;0.7390442370837872;0.7416014350945858;KNeighborsClassifier;6.4374134999998205
34;8;0.6939428000499562;0.6918623613829094;SVC;7.771229375000985
35;8;0.7070063694267515;0.7055609915198956;MLPClassifier_HLs(100);6.843686666001304
36;9;0.7002725323801807;0.7065359477124182;RandomForestClassifier;7.113322417000745
37;9;0.669275138080295;0.6686274509803921;KNeighborsClassifier;5.999694707999879
38;9;0.7326143178759481;0.7370098039215687;SVC;6.426413958000921
39;9;0.6753183088853568;0.6734477124183007;MLPClassifier_HLs(100);6.459230791999289
