;n;f1-score;accuracy;classifier;time
0;0;0.6720813577956435;0.6632242522073031;RandomForestClassifier;10.248952082998585
1;0;0.6876949914493147;0.6785604226282193;KNeighborsClassifier;7.833783792000759
2;0;0.7122936854314093;0.7013476166018539;SVC;8.070689750002202
3;0;0.685734293717487;0.6759287793186098;MLPClassifier_HLs(100);9.56336891599858
4;1;0.6645705282183878;0.6578570205688851;RandomForestClassifier;8.973159208002471
5;1;0.6902377570636569;0.6805402695233204;KNeighborsClassifier;7.269546375002392
6;1;0.6499275867742766;0.6421344192530634;SVC;9.16010579200156
7;1;0.6741963949063556;0.665100154083205;MLPClassifier_HLs(100);8.564814417000889
8;2;0.7226266191010373;0.713673050113728;RandomForestClassifier;8.19553170799918
9;2;0.6676484927638608;0.6574583608481913;KNeighborsClassifier;7.199397958000191
10;2;0.6794787682514866;0.6700785090615599;SVC;8.32698112500293
11;2;0.6868473617242089;0.6766722919265291;MLPClassifier_HLs(100);9.605139291998057
12;3;0.7323486639141046;0.7228140973903686;RandomForestClassifier;10.407538625000598
13;3;0.7086405514105106;0.6988003521901827;KNeighborsClassifier;10.277896084000531
14;3;0.6884979153002926;0.6781813290287867;SVC;10.456699834001483
15;3;0.7384798235680554;0.7275099664930172;MLPClassifier_HLs(100);10.304630457998428
16;4;0.7068508828498358;0.6987159732922446;RandomForestClassifier;8.542127707998588
17;4;0.6960471443695242;0.6852361386259691;KNeighborsClassifier;8.547121749998041
18;4;0.6910090872930881;0.6818609827084403;SVC;8.663036000001739
19;4;0.7222221601173335;0.7140619267737912;MLPClassifier_HLs(100);8.077045915997587
20;5;0.7583327258604668;0.7517242644361288;RandomForestClassifier;10.383886958999938
21;5;0.7534636965134129;0.7460745469220046;KNeighborsClassifier;7.577598083997145
22;5;0.7102132040555686;0.7003093892924402;SVC;8.709106959002384
23;5;0.7268584249124933;0.7171643798762443;MLPClassifier_HLs(100);7.0676446670004225
24;6;0.7055512453157283;0.6996478098173013;RandomForestClassifier;7.902221167001699
25;6;0.7507170940726857;0.7401301147063859;KNeighborsClassifier;8.343558665997989
26;6;0.6953260437584167;0.6910839631178614;SVC;7.600421749997622
27;6;0.6992647811721677;0.6884327536869911;MLPClassifier_HLs(100);8.865568791999976
28;7;0.7015942628520269;0.6971225572920489;RandomForestClassifier;8.850472250000166
29;7;0.7171271392789447;0.7095445985276494;KNeighborsClassifier;9.193281791001937
30;7;0.7335359908858875;0.7279086262137109;SVC;7.248408167000889
31;7;0.7100028520725061;0.7000269034167338;MLPClassifier_HLs(100);7.5719778329985274
32;8;0.7304937677924861;0.7211045075451855;RandomForestClassifier;8.181037166999886
33;8;0.653397057793958;0.6430564727174897;KNeighborsClassifier;8.075226708002447
34;8;0.7078735688880261;0.6994594859001638;SVC;7.4040993329981575
35;8;0.6871378617739803;0.6766722919265291;MLPClassifier_HLs(100);10.386919292002858
36;9;0.7054949119787421;0.6974894220656932;RandomForestClassifier;10.78023766700062
37;9;0.7795676925140028;0.7687455670506518;KNeighborsClassifier;7.242618874999607
38;9;0.7295340344982844;0.7205493188544035;SVC;7.076817000001029
39;9;0.6464529480405817;0.6411683420157996;MLPClassifier_HLs(100);9.00296637500287
