;n;f1-score;accuracy;classifier;time
0;0;0.6842306573971081;0.6813938765886115;RandomForestClassifier;8.991461833000358
1;0;0.7370461351074787;0.7323685172562742;KNeighborsClassifier;9.502373457999056
2;0;0.6912412944804756;0.6847957690524406;SVC;10.101735832999111
3;0;0.7350717248573636;0.7314947066096543;MLPClassifier_HLs(100);8.42013387499901
4;1;0.6793041167313204;0.6822487011575994;RandomForestClassifier;8.685082541000156
5;1;0.7282634405737883;0.7269412261467346;KNeighborsClassifier;9.13977141599753
6;1;0.6404760516979076;0.6458283947690727;SVC;11.703715583000303
7;1;0.702441821677035;0.70178763679823;MLPClassifier_HLs(100);8.313144042000204
8;2;0.6454407586710862;0.6465989342578325;RandomForestClassifier;8.755041749998782
9;2;0.7306699073370803;0.7252658182213267;KNeighborsClassifier;8.7653569590002
10;2;0.7253136395504839;0.7224949132788117;SVC;8.543661083000188
11;2;0.7225044243935819;0.7183405930227964;MLPClassifier_HLs(100);8.850402874999418
12;3;0.6761174251044295;0.6702877454466438;RandomForestClassifier;9.224836082998081
13;3;0.7146101035645274;0.7134936391292324;KNeighborsClassifier;8.592509416001121
14;3;0.6905478899367736;0.6906038876377859;SVC;8.457814249999501
15;3;0.6545220705178172;0.6521702520643198;MLPClassifier_HLs(100);10.118631792000087
16;4;0.6851440274695549;0.6807895768025078;RandomForestClassifier;10.127944165997178
17;4;0.7077056461086286;0.7008653343782654;KNeighborsClassifier;8.199396584001079
18;4;0.7255678250456435;0.719814524555904;SVC;8.422589624999091
19;4;0.6990465912766427;0.6952324973876698;MLPClassifier_HLs(100);8.145009957999719
