;n;f1-score;accuracy;classifier;time
0;0;0.8584249675771232;0.8572595704948647;RandomForestClassifier;11.307445625000128
1;0;0.8816119996990042;0.8810690943043884;KNeighborsClassifier;8.848644124999964
2;0;0.8701835404245836;0.8697478991596639;SVC;9.261723000000075
3;0;0.8816949208022087;0.8816526610644257;MLPClassifier_HLs(100);9.076699499999904
4;1;0.8549280236303137;0.855585354477612;RandomForestClassifier;10.580380375000004
5;1;0.8738787072478187;0.875116604477612;KNeighborsClassifier;8.305145625000023
6;1;0.8204669015959236;0.8214785447761195;SVC;11.336510209000153
7;1;0.9045036710616615;0.9054920708955223;MLPClassifier_HLs(100);8.876737917000128
8;2;0.862498525273559;0.8609741784037559;RandomForestClassifier;9.453063375000056
9;2;0.851269296516641;0.851056338028169;KNeighborsClassifier;11.978434874999948
10;2;0.8811916530958815;0.8779342723004695;SVC;9.992424374999928
11;2;0.87003044090798;0.8680164319248826;MLPClassifier_HLs(100);10.477813333000086
12;3;0.8046378619343088;0.8052910052910053;RandomForestClassifier;11.540457667000055
13;3;0.8505527451208019;0.8502645502645503;KNeighborsClassifier;8.809040791999905
14;3;0.8429303428718219;0.8428571428571429;SVC;8.572695834000115
15;3;0.8467748144966181;0.8468253968253968;MLPClassifier_HLs(100);9.388897000000043
16;4;0.8161027530861698;0.8163181390977443;RandomForestClassifier;10.19672470799992
17;4;0.8697394501027036;0.8699776785714286;KNeighborsClassifier;8.686965124999915
18;4;0.8467297961901804;0.8471275845864661;SVC;9.40032195799995
19;4;0.8505747126436781;0.8508869830827068;MLPClassifier_HLs(100);8.763348415999872
