;n;f1-score;accuracy;classifier;time
0;0;0.7273935566365509;0.7239025404332469;RandomForestClassifier;11.436887290999948
1;0;0.7312459876850966;0.7290337798264533;KNeighborsClassifier;7.694423416999598
2;0;0.7443449831056633;0.7418022437262087;SVC;9.608699833000173
3;0;0.76053138615645;0.7566555859614194;MLPClassifier_HLs(100);9.486779666000075
4;1;0.811376999373403;0.8073456480413538;RandomForestClassifier;9.403726333999657
5;1;0.8017306960821605;0.7984317770372873;KNeighborsClassifier;8.980118209000011
6;1;0.7506901373137917;0.7472859601534374;SVC;9.75539795800023
7;1;0.7819229062811239;0.7798331164500164;MLPClassifier_HLs(100);9.585615250000046
8;2;0.8145201561404792;0.809686388722867;RandomForestClassifier;9.19395329200006
9;2;0.8149448603844291;0.8117839269139869;KNeighborsClassifier;9.40334699999994
10;2;0.8235912468850081;0.8215000329822555;SVC;8.15609720800012
11;2;0.768295430483528;0.7670646525502613;MLPClassifier_HLs(100);10.824921082999936
12;3;0.7780422988290806;0.7745739458837813;RandomForestClassifier;10.319234209000115
13;3;0.7862002944448532;0.7835784348020765;KNeighborsClassifier;8.245972833999986
14;3;0.8020569465066036;0.8012409323783803;SVC;8.315779291000126
15;3;0.7624747973615381;0.7612031393776814;MLPClassifier_HLs(100);10.486211957999785
16;4;0.8072746742455298;0.8011376546084872;RandomForestClassifier;9.02727779099996
17;4;0.8026756827822733;0.8017153438116958;KNeighborsClassifier;10.94825129200035
18;4;0.772966223203941;0.7754981153472764;SVC;8.306744957999854
19;4;0.8052831810967991;0.805332730990727;MLPClassifier_HLs(100);8.345191542000066
20;5;0.7613495137869728;0.7576044088280506;RandomForestClassifier;10.510440500000186
21;5;0.8078813528725073;0.8066466907470448;KNeighborsClassifier;8.288412332999997
22;5;0.8234452558538424;0.8206791412886534;SVC;8.168802624999898
23;5;0.7648827679072954;0.7606381100301371;MLPClassifier_HLs(100);8.90932970799986
24;6;0.8347124198084644;0.8308569989345731;RandomForestClassifier;9.191671542000222
25;6;0.8130402676743281;0.810597898330698;KNeighborsClassifier;8.252536250000048
26;6;0.7915648063551725;0.7904667288998519;SVC;8.302615957999933
27;6;0.7811920535626423;0.7774797159128388;MLPClassifier_HLs(100);8.126927124999838
28;7;0.8064057051181784;0.8021957520187472;RandomForestClassifier;10.735819625000204
29;7;0.7969696740082252;0.7941027727082829;KNeighborsClassifier;7.709429083000032
30;7;0.7926882771682494;0.7877855047317875;SVC;8.900767542000267
31;7;0.7616508381092775;0.7586311897532462;MLPClassifier_HLs(100);11.095826666999983
32;8;0.7083015831232047;0.7034122308864497;RandomForestClassifier;9.413129541000217
33;8;0.7517582808838681;0.7483440575636974;KNeighborsClassifier;8.443238207999912
34;8;0.7608903754093936;0.7567835171344485;SVC;8.050536458999886
35;8;0.7184385025271548;0.7150979439728093;MLPClassifier_HLs(100);9.245773999999983
36;9;0.8260843091667622;0.8210316183226757;RandomForestClassifier;9.465080292000039
37;9;0.828858545730753;0.8249954857619933;KNeighborsClassifier;7.902641458000289
38;9;0.8024474436109424;0.8000609005688273;SVC;7.919724625000072
39;9;0.8199303058306886;0.817030437624558;MLPClassifier_HLs(100);9.055195542000092
