;n;f1-score;accuracy;classifier;time
0;0;0.745782207819486;0.7479046197536926;RandomForestClassifier;12.918201542000133
1;0;0.8614750632146919;0.8618156717559218;KNeighborsClassifier;9.919818375000432
2;0;0.787123202940116;0.7881645224751253;SVC;9.262423292000221
3;0;0.74747796071806;0.7485198866387732;MLPClassifier_HLs(100);9.90996962500003
4;1;0.7693506756770384;0.7695220112650355;RandomForestClassifier;10.700583958000152
5;1;0.7435553018580561;0.7442095945193741;KNeighborsClassifier;10.637925249999626
6;1;0.8258218130769914;0.8274964603149293;SVC;9.005497874999946
7;1;0.7773510478199479;0.7776403996273467;MLPClassifier_HLs(100);9.793348374999823
8;2;0.7751090276755292;0.7777695712301702;RandomForestClassifier;10.495259457999964
9;2;0.7941601240762043;0.7954920251922533;KNeighborsClassifier;10.398530541999662
10;2;0.835808339080914;0.8393967152179067;SVC;9.002932916999725
11;2;0.7865172757626797;0.7888909649823896;MLPClassifier_HLs(100);9.431362208999872
12;3;0.7158951334634265;0.7177605165820632;RandomForestClassifier;11.252668832999916
13;3;0.7599087594239378;0.7608095924976285;KNeighborsClassifier;10.296654208999826
14;3;0.7639071639537169;0.7715349727732838;SVC;9.175370040999951
15;3;0.7279903746521653;0.7313979440804759;MLPClassifier_HLs(100);9.914805833999708
16;4;0.7625993302965058;0.7653851164313453;RandomForestClassifier;10.783020542000031
17;4;0.8079784687031317;0.8080709710932784;KNeighborsClassifier;9.350950208000086
18;4;0.7930419578625976;0.796944910206782;SVC;10.66654995900035
19;4;0.7703240564797332;0.7755334432575929;MLPClassifier_HLs(100);9.069906083000205
20;5;0.734247632837056;0.7358066332491701;RandomForestClassifier;13.50039125000012
21;5;0.7771576386619156;0.774421931601741;KNeighborsClassifier;10.19308216599984
22;5;0.8114240300690603;0.8143748836273506;SVC;10.887662332999753
23;5;0.7652929619288166;0.7657139150221235;MLPClassifier_HLs(100);10.14867566699968
24;6;0.7184998564222593;0.72033775296683;RandomForestClassifier;11.069742499999847
25;6;0.8008046848204565;0.8024139763592733;KNeighborsClassifier;9.723167583000304
26;6;0.7405122025396149;0.7500590626861758;SVC;11.44753295800001
27;6;0.7506281551831446;0.7591384934800338;MLPClassifier_HLs(100);10.473782750000282
28;7;0.7363484249677504;0.7382459140360335;RandomForestClassifier;10.163894625000012
29;7;0.8203288699460922;0.8260613063345525;KNeighborsClassifier;8.782899541999996
30;7;0.8005865569205415;0.8075351066324012;SVC;9.206262458999845
31;7;0.7364471790366129;0.7410648427587434;MLPClassifier_HLs(100);10.586944209000194
32;8;0.79311614861621;0.7953691511636286;RandomForestClassifier;9.81853987500017
33;8;0.8076322596753766;0.8111984809517334;KNeighborsClassifier;9.211714250000114
34;8;0.7986180131981484;0.8007327889946609;SVC;10.59954662500013
35;8;0.7963878670353467;0.8025346900550012;MLPClassifier_HLs(100);9.694332874999873
36;9;0.7392974729169248;0.7474441631392099;RandomForestClassifier;10.353822792000301
37;9;0.7856091394641646;0.7888849527351771;KNeighborsClassifier;10.001049749999765
38;9;0.7708362953318197;0.7766452198599322;SVC;9.888777459000266
39;9;0.7395446098453764;0.7440858441292912;MLPClassifier_HLs(100);11.777466000000004
