;n;f1-score;accuracy;classifier;time
0;0;0.31193600025741475;0.3057971485878463;RandomForestClassifier;9.851189124994562
1;0;0.4255376769362409;0.4141600260204912;KNeighborsClassifier;7.543559291996644
2;0;0.3253198044337285;0.3271100992031225;SVC;8.488852958005737
3;0;0.3799799409517542;0.3800726405377568;MLPClassifier_HLs(100);8.946486250002636
4;1;0.4770849437637338;0.47144088469669865;RandomForestClassifier;6.9929528329957975
5;1;0.3951686236260645;0.3862015503875969;KNeighborsClassifier;8.189801124986843
6;1;0.4058304371684653;0.4081633870005963;SVC;7.867643916993984
7;1;0.4255132336335344;0.408915270775736;MLPClassifier_HLs(100);7.997571750005591
8;2;0.399142567224759;0.3879443772142131;RandomForestClassifier;9.373574750003172
9;2;0.47618351523281094;0.46196376582833487;KNeighborsClassifier;8.653807750000851
10;2;0.3903789313575337;0.3760029727454488;SVC;6.492008207991603
11;2;0.3114233385661957;0.29430289557683537;MLPClassifier_HLs(100);9.420496958002332
12;3;0.4555519480519481;0.4519241730681539;RandomForestClassifier;8.122937124993769
13;3;0.38654813563875784;0.3849255936721737;KNeighborsClassifier;8.878366375007317
14;3;0.3549452413258384;0.39516797327159847;SVC;8.731523542010109
15;3;0.45177411006535056;0.4572010154687993;MLPClassifier_HLs(100);9.45889249999891
16;4;0.4417651146704792;0.43481663685152055;RandomForestClassifier;9.16660050000064
17;4;0.4175441744916613;0.41971424892936526;KNeighborsClassifier;8.32219587500731
18;4;0.3657619359058208;0.36557773621727113;SVC;5.938498292001896
19;4;0.36777579630254015;0.35412770369165714;MLPClassifier_HLs(100);9.323187500005588
