;n;f1-score;accuracy;classifier;time
0;0;0.8796013615468294;0.8732638888888888;RandomForestClassifier;5.1292617920007615
1;0;0.8033845749572986;0.7962962962962963;KNeighborsClassifier;5.154441082999256
2;0;0.8805226112706657;0.8761574074074074;SVC;5.143531499998062
3;0;0.7475468331846566;0.7436342592592593;MLPClassifier_HLs(100);5.132944749999297
4;1;0.7127166268128474;0.7047619047619047;RandomForestClassifier;5.093949833997613
5;1;0.7901108703963298;0.7696428571428571;KNeighborsClassifier;4.205790125000931
6;1;0.7639680957128615;0.7607142857142857;SVC;4.369450624999445
7;1;0.7901108703963298;0.7696428571428571;MLPClassifier_HLs(100);4.263642583999172
8;2;0.8977666999002991;0.8927738927738929;RandomForestClassifier;4.580772792000062
9;2;0.8265168263325964;0.8158508158508159;KNeighborsClassifier;4.736495958997693
10;2;0.79719868173258;0.7977855477855478;SVC;6.044801167001424
11;2;0.8305084745762712;0.828088578088578;MLPClassifier_HLs(100);6.303186875000392
12;3;0.8476337222099933;0.8478009259259259;RandomForestClassifier;6.284151666997786
13;3;0.7552607876852534;0.7494212962962963;KNeighborsClassifier;4.84998345799977
14;3;0.8463862144908557;0.8420138888888888;SVC;4.818452499999694
15;3;0.7517802856785908;0.7465277777777778;MLPClassifier_HLs(100);5.8715837499985355
16;4;0.757123556865635;0.7470862470862472;RandomForestClassifier;5.602268750000803
17;4;0.7298175160928365;0.7196969696969697;KNeighborsClassifier;4.5591117500007385
18;4;0.8429068957511029;0.831002331002331;SVC;4.400803666998399
19;4;0.7698226251478123;0.7581585081585082;MLPClassifier_HLs(100);4.529660500000318
20;5;0.7517802856785908;0.7465277777777778;RandomForestClassifier;4.693583625001338
21;5;0.7676363158586257;0.7621527777777778;KNeighborsClassifier;4.591710332999355
22;5;0.742002917600349;0.7366898148148149;SVC;6.166002000001754
23;5;0.7633292709770595;0.7592592592592593;MLPClassifier_HLs(100);4.450975291998475
24;6;0.847457627118644;0.853587962962963;RandomForestClassifier;4.966911999999866
25;6;0.7569041128363162;0.7783564814814814;KNeighborsClassifier;4.87635975000012
26;6;0.7592788763339611;0.775462962962963;SVC;5.686035750000883
27;6;0.7380247317748247;0.7627314814814814;MLPClassifier_HLs(100);4.593501916002424
28;7;0.813234606774741;0.8107638888888888;RandomForestClassifier;6.075093625000591
29;7;0.7872402448673635;0.7806712962962963;KNeighborsClassifier;5.947550625001895
30;7;0.7453199183291924;0.7424768518518519;SVC;6.22161891700307
31;7;0.7552607876852534;0.7494212962962963;MLPClassifier_HLs(100);5.791199749997759
32;8;0.8079973170291257;0.7966200466200466;RandomForestClassifier;4.683336791000329
33;8;0.7177686160737008;0.7115384615384616;KNeighborsClassifier;5.629673082999943
34;8;0.8102070772997161;0.8006993006993006;SVC;5.126168292001239
35;8;0.7658418472804583;0.754079254079254;MLPClassifier_HLs(100);4.25432224999895
36;9;0.7966101694915254;0.7917647058823529;RandomForestClassifier;5.853122208998684
37;9;0.6521862982481128;0.6452941176470588;KNeighborsClassifier;4.244376791997638
38;9;0.7403451745220958;0.7264705882352941;SVC;4.464620375001687
39;9;0.7018578373406911;0.6864705882352942;MLPClassifier_HLs(100);4.435863208000228
