;n;f1-score;accuracy;classifier;time
0;0;0.8520535489447428;0.8455172413793104;RandomForestClassifier;5.531195208001009
1;0;0.8099331738305419;0.8055172413793104;KNeighborsClassifier;5.240907167000842
2;0;0.8655614973262032;0.8588505747126437;SVC;6.234005415997672
3;0;0.7684070417531326;0.7673563218390805;MLPClassifier_HLs(100);6.775382791998709
4;1;0.8559632140368192;0.8499369670003708;RandomForestClassifier;6.792855583000346
5;1;0.8505252100840337;0.8444197256210604;KNeighborsClassifier;5.067390958000033
6;1;0.9148700340351194;0.9092473118279569;SVC;5.747063792001427
7;1;0.8208479614348445;0.8143566926214313;MLPClassifier_HLs(100);6.211422665997816
8;2;0.888857126428284;0.8818390804597701;RandomForestClassifier;6.027206582999497
9;2;0.8473977838297992;0.8418390804597702;KNeighborsClassifier;5.827527166999062
10;2;0.9132764186521743;0.9066666666666666;SVC;5.0705598750028
11;2;0.8013433662568611;0.8018390804597701;MLPClassifier_HLs(100);5.3701232919993345
12;3;0.7823822066139888;0.7761957730812014;RandomForestClassifier;5.950470582996786
13;3;0.725696442359991;0.7291954022988506;KNeighborsClassifier;5.218312957997114
14;3;0.8145363706655564;0.8080978865406007;SVC;5.436837459001254
15;3;0.813221288515406;0.8073563218390806;MLPClassifier_HLs(100);5.520794583000679
16;4;0.7711101355965272;0.7695810159436411;RandomForestClassifier;5.6857315830020525
17;4;0.7745313510019392;0.7770114942528735;KNeighborsClassifier;5.541627624999819
18;4;0.825972850678733;0.8195921394141639;SVC;6.033527208001033
19;4;0.7795043299439696;0.7788505747126436;MLPClassifier_HLs(100);5.601645417002146
20;5;0.8676260518769605;0.8606896551724138;RandomForestClassifier;6.8087178750029125
21;5;0.7956702604243588;0.792183908045977;KNeighborsClassifier;6.223672584001179
22;5;0.8612735796405848;0.8551724137931034;SVC;4.875884957997187
23;5;0.892092994708204;0.8855172413793104;MLPClassifier_HLs(100);6.862730000000738
24;6;0.8068696250429996;0.8036781609195401;RandomForestClassifier;5.4794562499992026
25;6;0.7160917865598251;0.7262588060808306;KNeighborsClassifier;6.668085291999887
26;6;0.8362286694466624;0.8310863922877272;SVC;6.4568409159983275
27;6;0.7692799774371991;0.7688394512421208;MLPClassifier_HLs(100);5.190249250001216
28;7;0.7897934173669469;0.7840118650352244;RandomForestClassifier;6.751449291998142
29;7;0.7685807656395891;0.7751724137931034;KNeighborsClassifier;6.168571041998803
30;7;0.8384120176086095;0.8321839080459771;SVC;5.6107417499988514
31;7;0.7368067226890757;0.741431219873934;MLPClassifier_HLs(100);5.761662459000945
32;8;0.838845067484349;0.8321839080459771;RandomForestClassifier;5.448589125000581
33;8;0.8172030438931229;0.8159139784946237;KNeighborsClassifier;5.432868042000337
34;8;0.9391151332327804;0.9333333333333332;SVC;4.977509374999499
35;8;0.8615061562757677;0.8551724137931034;MLPClassifier_HLs(100);4.98883675000252
36;9;0.7950671550671551;0.7884315906562848;RandomForestClassifier;5.705741542002215
37;9;0.7578965188009127;0.7636781609195401;KNeighborsClassifier;5.287767750000057
38;9;0.8659493833071461;0.8595921394141639;SVC;5.922543541997584
39;9;0.799379359586972;0.7940229885057472;MLPClassifier_HLs(100);5.296310541001731
