;n;f1-score;accuracy;classifier;time
0;0;0.7240257999839882;0.7261425622880732;RandomForestClassifier;5.9758784160003415
1;0;0.7889392769942453;0.7928221288515406;KNeighborsClassifier;6.191541666998091
2;0;0.8664792571769317;0.8629551820728291;SVC;6.270316957998148
3;0;0.8217345425137632;0.8222338935574229;MLPClassifier_HLs(100);6.625203209001484
4;1;0.7696766165285733;0.7603775062656641;RandomForestClassifier;5.544976291999774
5;1;0.7994556067575307;0.7953477443609023;KNeighborsClassifier;5.688990750000812
6;1;0.8803041919320989;0.8730028195488722;SVC;5.067043791001197
7;1;0.7752670162818154;0.7698151629072681;MLPClassifier_HLs(100);5.020696583000245
8;2;0.7276038934545666;0.7222822681704261;RandomForestClassifier;5.08322962499733
9;2;0.8188903152189417;0.8148809523809524;KNeighborsClassifier;4.926640334000695
10;2;0.8633782453549896;0.8580357142857142;SVC;5.2915420409990475
11;2;0.7126315789473685;0.7116932957393483;MLPClassifier_HLs(100);6.529146290999051
12;3;0.6822191782648109;0.6858944235588973;RandomForestClassifier;6.116144499999791
13;3;0.7812779440239395;0.7741541353383459;KNeighborsClassifier;5.766213124999922
14;3;0.7020811096797939;0.6990523182957393;SVC;5.279285708998941
15;3;0.749422084623323;0.7447133458646616;MLPClassifier_HLs(100);5.42853174999982
16;4;0.7490255243371586;0.7410949248120301;RandomForestClassifier;5.927313374999358
17;4;0.7554581314048417;0.7648809523809523;KNeighborsClassifier;4.672127208003076
18;4;0.8486858098166573;0.8430059523809523;SVC;5.03546754099807
19;4;0.7836921850079746;0.7829730576441103;MLPClassifier_HLs(100);6.000029625000025
