;n;f1-score;accuracy;classifier;time
0;0;0.8710575139146568;0.8798611111111111;RandomForestClassifier;5.068454125000017
1;0;0.8576732971669682;0.8777777777777778;KNeighborsClassifier;5.042153666999866
2;0;0.9355077999579278;0.9444444444444444;SVC;4.6649768339998445
3;0;0.8707879957879958;0.8888888888888888;MLPClassifier_HLs(100);4.577550166000037
4;1;0.8702175017964492;0.8729674796747967;RandomForestClassifier;5.099092833000213
5;1;0.8148989898989899;0.8106368563685638;KNeighborsClassifier;5.32039450000002
6;1;0.8954643168049461;0.8922764227642277;SVC;5.217539000000215
7;1;0.7909286336098922;0.787940379403794;MLPClassifier_HLs(100);4.95111874999975
8;2;0.8441558441558441;0.8361702127659575;RandomForestClassifier;5.493320250000124
9;2;0.820029563932003;0.8450354609929078;KNeighborsClassifier;5.009900666999783
10;2;0.896650334237992;0.8968085106382979;SVC;5.553706958000021
11;2;0.8073765704853435;0.8283687943262412;MLPClassifier_HLs(100);6.148706583000148
12;3;0.8834465375977802;0.8801418439716312;RandomForestClassifier;5.399702499999876
13;3;0.7936819936819937;0.823758865248227;KNeighborsClassifier;5.510608625000259
14;3;0.8972845336481701;0.9088652482269504;SVC;4.771435334000216
15;3;0.8073765704853435;0.8283687943262412;MLPClassifier_HLs(100);5.176603833000172
16;4;0.9084429909137189;0.9102564102564102;RandomForestClassifier;5.345620250000138
17;4;0.8417574217847814;0.8458164642375169;KNeighborsClassifier;4.927385167000011
18;4;0.8955759687467005;0.8970985155195681;SVC;4.722173291999752
19;4;0.8417574217847814;0.8458164642375169;MLPClassifier_HLs(100);5.22332358299991
20;5;0.8964236857533711;0.8977272727272727;RandomForestClassifier;5.289642249999815
21;5;0.8287879932512402;0.8181818181818181;KNeighborsClassifier;5.353674375000082
22;5;0.8961038961038961;0.8939393939393939;SVC;4.8645657080001
23;5;0.8524920548794667;0.8371212121212122;MLPClassifier_HLs(100);4.96091612500004
24;6;0.8564663815805368;0.860472972972973;RandomForestClassifier;6.253284416000042
25;6;0.7991334508188441;0.8125;KNeighborsClassifier;5.154571499999747
26;6;0.895787995787996;0.8989864864864865;SVC;4.747527666000224
27;6;0.7771976877695527;0.783445945945946;MLPClassifier_HLs(100);5.2156038749999425
28;7;0.8567065040847495;0.8554054054054054;RandomForestClassifier;5.736664542000199
29;7;0.8430999894414529;0.847972972972973;KNeighborsClassifier;4.8214421669999865
30;7;0.8571910789632309;0.8574324324324325;SVC;4.878004791000421
31;7;0.830883884048441;0.833445945945946;MLPClassifier_HLs(100);5.092244375000064
32;8;0.8441558441558441;0.8428571428571429;RandomForestClassifier;4.9566666669998085
33;8;0.8567088607594937;0.8666666666666667;KNeighborsClassifier;4.6981563749995985
34;8;0.8833141542002302;0.888095238095238;SVC;5.2388838749998285
35;8;0.8151515151515152;0.8333333333333333;MLPClassifier_HLs(100);5.923981292000008
36;9;0.8700860542965807;0.8704453441295547;RandomForestClassifier;5.441464874999838
37;9;0.827982790926692;0.832995951417004;KNeighborsClassifier;5.758632000000034
38;9;0.9089988492520138;0.9095816464237516;SVC;4.709527541999705
39;9;0.8433639531200506;0.8451417004048583;MLPClassifier_HLs(100);5.040391374999672
