;n;f1-score;accuracy;classifier;time
0;0;0.8711650668172407;0.8691756272401433;RandomForestClassifier;5.417340750000221
1;0;0.886896592738984;0.89247311827957;KNeighborsClassifier;6.707729250000284
2;0;0.8762375305853567;0.8817204301075269;SVC;6.291072833000271
3;0;0.9329569740684748;0.935483870967742;MLPClassifier_HLs(100);5.227193749999969
4;1;0.8805298450539066;0.8813620071684588;RandomForestClassifier;5.75054045800016
5;1;0.8902817396438624;0.8917562724014337;KNeighborsClassifier;5.495744708000075
6;1;0.9230700405909854;0.924731182795699;SVC;5.125839041999825
7;1;0.8476253862040981;0.8487455197132617;MLPClassifier_HLs(100);6.068244791000325
8;2;0.8914825374198148;0.8913978494623657;RandomForestClassifier;5.973663582999961
9;2;0.8622522837318425;0.8709677419354839;KNeighborsClassifier;6.795321791000333
10;2;0.9094450637928899;0.913978494623656;SVC;5.400934415999927
11;2;0.836572204968944;0.8491039426523298;MLPClassifier_HLs(100);5.142989999999827
12;3;0.9120212620962246;0.9136200716845878;RandomForestClassifier;6.678778625000177
13;3;0.8749126441371737;0.8817204301075269;KNeighborsClassifier;5.124684417000026
14;3;0.9564764492753624;0.956989247311828;SVC;5.56658675000017
15;3;0.9443716368275311;0.946236559139785;MLPClassifier_HLs(100);6.4838693340002465
16;4;0.8212427876970606;0.8279569892473116;RandomForestClassifier;6.71177066700011
17;4;0.8232824602910599;0.8387096774193549;KNeighborsClassifier;5.719337417000133
18;4;0.8991718426501035;0.903225806451613;SVC;6.514959375000217
19;4;0.8158383336612236;0.8279569892473119;MLPClassifier_HLs(100);6.1622667090000505
20;5;0.8902817396438624;0.8917562724014337;RandomForestClassifier;5.35254362500018
21;5;0.8339246039223075;0.8494623655913979;KNeighborsClassifier;5.1657063749999
22;5;0.9014258999532493;0.9028673835125448;SVC;6.646851625000181
23;5;0.8748957335190023;0.8817204301075269;MLPClassifier_HLs(100);4.995684458000142
24;6;0.8329757818459191;0.8379928315412187;RandomForestClassifier;5.399117749999732
25;6;0.7830578800488425;0.8064516129032259;KNeighborsClassifier;5.35271983299981
26;6;0.8608896859417373;0.8709677419354839;SVC;5.779484666999906
27;6;0.8503584552166281;0.8598566308243728;MLPClassifier_HLs(100);5.260737541999788
28;7;0.9342273925488466;0.9347670250896057;RandomForestClassifier;5.593934916999842
29;7;0.8849710477711775;0.8924731182795699;KNeighborsClassifier;5.356867833999786
30;7;0.9452929663193383;0.9455197132616487;SVC;5.412714791999861
31;7;0.8157360171385417;0.8268817204301074;MLPClassifier_HLs(100);5.29974408399994
32;8;0.8775037117249646;0.8813620071684588;RandomForestClassifier;6.18580883300001
33;8;0.7672352747021934;0.7953405017921146;KNeighborsClassifier;5.210267958999793
34;8;0.8849710477711775;0.8924731182795699;SVC;5.0382322499999646
35;8;0.8518843907552538;0.8602150537634409;MLPClassifier_HLs(100);5.017236749999938
36;9;0.9021086964072146;0.9021505376344087;RandomForestClassifier;6.827376583999921
37;9;0.8889385346852264;0.8917562724014337;KNeighborsClassifier;5.8856474170002
38;9;0.9334058186311089;0.935483870967742;SVC;6.100116874999912
39;9;0.8990676694481041;0.903225806451613;MLPClassifier_HLs(100);5.906555915999888
