;n;f1-score;accuracy;classifier;time
0;0;0.8013576306259235;0.799749373433584;RandomForestClassifier;5.825504874999751
1;0;0.7617115757575885;0.7640350877192983;KNeighborsClassifier;6.425997374999952
2;0;0.8771840424956956;0.8760651629072682;SVC;5.0092667910003
3;0;0.7758573388203018;0.7765977443609022;MLPClassifier_HLs(100);5.365996541999721
4;1;0.7831320276267058;0.7858709273182958;RandomForestClassifier;5.147762208000131
5;1;0.7697728978978979;0.775281954887218;KNeighborsClassifier;4.782594791000065
6;1;0.8362101313320827;0.8359962406015038;SVC;6.105512333000206
7;1;0.7947590613869685;0.7979010025062657;MLPClassifier_HLs(100);4.907415416999811
8;2;0.7843114837398375;0.787907268170426;RandomForestClassifier;5.765995000000203
9;2;0.8000326809344612;0.8142230576441103;KNeighborsClassifier;6.44521766600019
10;2;0.8466054677030288;0.8517857142857143;SVC;5.328502625000056
11;2;0.696952380952381;0.712907268170426;MLPClassifier_HLs(100);5.65123445800009
12;3;0.755968992248062;0.7590852130325815;RandomForestClassifier;5.387735040999814
13;3;0.7714818127608826;0.7734962406015038;KNeighborsClassifier;5.561816916000225
14;3;0.83505970293761;0.8354010025062657;SVC;5.497800416000246
15;3;0.7701629818594105;0.7734335839598998;MLPClassifier_HLs(100);5.188375416000326
16;4;0.706699699620447;0.712249373433584;RandomForestClassifier;6.219648417000371
17;4;0.8192432847122589;0.8267230576441104;KNeighborsClassifier;4.720009457999822
18;4;0.8245590558090559;0.8260651629072682;SVC;4.941897500000323
19;4;0.7864957264957265;0.78796992481203;MLPClassifier_HLs(100);5.390763291999974
