,"ECG__fft_coefficient__attr_""abs""__coeff_0","ECG__fft_aggregated__aggtype_""skew""","ECG__fft_aggregated__aggtype_""kurtosis""","ECG__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.4","ECG__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.4","ECG__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.2","ECG__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.2","ECG__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.2","ECG__change_quantiles__f_agg_""mean""__isabs_True__qh_0.6__ql_0.2","ECG__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.4","ECG__fft_coefficient__attr_""abs""__coeff_38","ECG__fft_aggregated__aggtype_""variance""","ECG__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.4","ECG__fft_coefficient__attr_""abs""__coeff_34","ECG__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.4","ECG__change_quantiles__f_agg_""var""__isabs_False__qh_0.6__ql_0.2","ECG__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.4","ECG__fft_coefficient__attr_""abs""__coeff_49","ECG__fft_coefficient__attr_""abs""__coeff_39","ECG__change_quantiles__f_agg_""var""__isabs_True__qh_0.6__ql_0.2","ECG__change_quantiles__f_agg_""mean""__isabs_True__qh_0.4__ql_0.2","ECG__fft_coefficient__attr_""abs""__coeff_45","ECG__fft_coefficient__attr_""abs""__coeff_33","ECG__fft_coefficient__attr_""abs""__coeff_40","ECG__fft_coefficient__attr_""abs""__coeff_35","ECG__change_quantiles__f_agg_""var""__isabs_False__qh_0.4__ql_0.2","ECG__fft_coefficient__attr_""abs""__coeff_32","ECG__fft_coefficient__attr_""abs""__coeff_43","ECG__fft_coefficient__attr_""abs""__coeff_42",ECG__quantile__q_0.3,"ECG__fft_coefficient__attr_""abs""__coeff_31","ECG__fft_coefficient__attr_""abs""__coeff_26","ECG__fft_coefficient__attr_""abs""__coeff_46","ECG__fft_coefficient__attr_""abs""__coeff_36","ECG__change_quantiles__f_agg_""var""__isabs_True__qh_0.4__ql_0.2","ECG__change_quantiles__f_agg_""mean""__isabs_True__qh_0.8__ql_0.6","ECG__fft_coefficient__attr_""abs""__coeff_90","ECG__fft_coefficient__attr_""abs""__coeff_27","ECG__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.2","ECG__change_quantiles__f_agg_""var""__isabs_False__qh_0.8__ql_0.6","ECG__fft_coefficient__attr_""abs""__coeff_44","ECG__fft_coefficient__attr_""abs""__coeff_29","ECG__fft_coefficient__attr_""abs""__coeff_28","ECG__fft_coefficient__attr_""abs""__coeff_81","ECG__fft_coefficient__attr_""abs""__coeff_30",ECG__range_count__max_1__min_-1,"ECG__fft_coefficient__attr_""abs""__coeff_41","ECG__change_quantiles__f_agg_""var""__isabs_True__qh_0.8__ql_0.6","ECG__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.4","ECG__fft_coefficient__attr_""abs""__coeff_85","ECG__fft_coefficient__attr_""abs""__coeff_96",ECG__quantile__q_0.2,"ECG__fft_coefficient__attr_""abs""__coeff_50","ECG__fft_coefficient__attr_""abs""__coeff_21","ECG__fft_coefficient__attr_""abs""__coeff_79","ECG__fft_coefficient__attr_""abs""__coeff_86","ECG__fft_coefficient__attr_""abs""__coeff_37","ECG__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.6","ECG__fft_coefficient__attr_""abs""__coeff_87","ECG__fft_coefficient__attr_""abs""__coeff_83",ECG__absolute_sum_of_changes,ECG__mean_abs_change,"ECG__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.0","ECG__fft_coefficient__attr_""abs""__coeff_92","ECG__fft_coefficient__attr_""abs""__coeff_17","ECG__fft_coefficient__attr_""abs""__coeff_23","ECG__fft_coefficient__attr_""abs""__coeff_52","ECG__fft_coefficient__attr_""abs""__coeff_98","ECG__fft_coefficient__attr_""abs""__coeff_89","ECG__fft_coefficient__attr_""abs""__coeff_16","ECG__fft_coefficient__attr_""abs""__coeff_25","ECG__change_quantiles__f_agg_""mean""__isabs_False__qh_0.8__ql_0.6","ECG__fft_coefficient__attr_""abs""__coeff_24","ECG__fft_coefficient__attr_""abs""__coeff_22","ECG__fft_coefficient__attr_""abs""__coeff_13","ECG__fft_coefficient__attr_""abs""__coeff_91","ECG__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""max""","ECG__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""min""","ECG__agg_linear_trend__attr_""intercept""__chunk_len_5__f_agg_""max""","ECG__agg_linear_trend__attr_""intercept""__chunk_len_50__f_agg_""max""","ECG__fft_coefficient__attr_""abs""__coeff_82","ECG__fft_coefficient__attr_""abs""__coeff_47","ECG__agg_linear_trend__attr_""intercept""__chunk_len_10__f_agg_""min""","ECG__fft_coefficient__attr_""abs""__coeff_53","ECG__fft_coefficient__attr_""abs""__coeff_97","ECG__fft_coefficient__attr_""abs""__coeff_15","ECG__fft_coefficient__attr_""abs""__coeff_19","ECG__fft_coefficient__attr_""abs""__coeff_71","ECG__agg_linear_trend__attr_""stderr""__chunk_len_50__f_agg_""mean""","ECG__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.2","ECG__fft_coefficient__attr_""abs""__coeff_48","ECG__cwt_coefficients__coeff_4__w_5__widths_(2, 5, 10, 20)","ECG__fft_coefficient__attr_""abs""__coeff_93","ECG__change_quantiles__f_agg_""mean""__isabs_True__qh_1.0__ql_0.8","ECG__fft_coefficient__attr_""real""__coeff_0",ECG__sum_values,ECG__mean,"ECG__change_quantiles__f_agg_""var""__isabs_False__qh_1.0__ql_0.4","ECG__fft_coefficient__attr_""abs""__coeff_20","ECG__fft_coefficient__attr_""abs""__coeff_78",ECG__lempel_ziv_complexity__bins_100,"ECG__cwt_coefficients__coeff_3__w_5__widths_(2, 5, 10, 20)",ECG__quantile__q_0.4,"ECG__fft_coefficient__attr_""abs""__coeff_11","ECG__change_quantiles__f_agg_""var""__isabs_True__qh_1.0__ql_0.2","ECG__fft_coefficient__attr_""abs""__coeff_73","ECG__fft_coefficient__attr_""abs""__coeff_84"
2ea4_Breathing,38567.80675806515,3.5350582547447233,17.0453766451759,25.792461805646774,1504.3563358037936,5080.609963292651,41.746862432774996,3337.904080245449,40.62039283424901,839.550167845842,142527.88572804126,5268711.641406245,33.823014560259374,35701.6686027837,2774.078637231348,4800.400059519601,1630.085618955596,408361.4003881404,179898.58352146938,3150.4001284793817,43.49063699864287,439424.97327410313,86755.6433018221,169666.29287060926,141341.5234981363,5033.898685714765,46221.1309552769,186516.5168501623,125928.18142828302,-238.60786314869165,186778.84288350347,46126.0393048963,111032.75784062587,63560.88670416242,3142.469266420636,30.226272510063957,405947.5752537872,79504.05268486749,80.07440963160548,1959.8043434597726,248090.598895845,105117.95287783448,130515.65057150008,504364.6138253128,156581.29115635992,40.0,214327.41685259322,1046.4424639010954,88.4216730000151,550966.5027924784,1089771.4273577924,-743.5661564189634,454739.95818240533,97522.25109921632,376912.96795467753,374656.8148547491,127697.13835670093,113.32493312135458,645040.2958252444,859970.1375179996,2238220.4106462123,74.60983401600761,74.60983401600761,1118424.037963037,51458.46742251844,37924.93053971775,287480.8049962589,1460062.4534103281,545073.3734090336,37998.50318250853,94219.54134106947,0.5154321429352564,125612.22850934182,78233.75734963613,64075.91138549923,993138.9670383598,286.14007315389574,-147.04155587368896,139.76433941062908,1295.8716444223464,593856.8864344632,390884.43859815726,-282.9510896015964,1103635.191300978,948661.8052712725,54861.93293002167,64141.02056318377,2033360.487725379,0.16354364092515583,41684.80636234018,676729.3674956786,15821.633605522982,1021074.4337432303,187.2313371355053,-38567.80675806515,-38567.806758065104,-1.28559355860217,53077.880990256104,71234.66653218628,762216.0907296765,0.15476666666666666,16046.180105236243,-109.73305916381635,81531.15625191227,35273.0393370575,522902.69546666375,791698.9752122433
2ea4_Counting3,2.296474121976644e-09,4.340320642137187,59.90302978535503,32.73492076862563,1833.3585195826986,4296.64385505623,43.621819638490194,2393.7807086552093,44.26610689328666,762.2681435476007,5832.9049958113455,597370.7912587114,36.4480501369491,110594.12725699587,2428.465607344472,4300.155037146738,1100.013048700895,20196.15178532305,91753.10802351896,2340.853584810498,47.69660035074384,45705.64251782452,138079.32962061203,97718.82698757843,158564.73963288817,4887.094410242204,90892.28896589567,89410.67398188607,74377.32667647864,-349.4871907196314,44274.23369362712,68973.10125247945,111348.37708785982,41025.15756918355,2613.5528261029413,32.73833321210138,348477.23792924586,66683.79119093278,84.74704892693161,1838.8173592307335,61866.01162703046,87551.24687799862,107248.7583831215,591271.941276155,63050.65701734736,49.0,182492.65216346135,767.0624291994459,94.63719660647203,456541.0413039622,246444.3606689236,-873.3776845457334,53128.57462778014,63621.861539675505,216228.9702671251,121997.98861137174,53927.416888670996,122.17167569789693,174254.02354038687,303105.79339425906,2277261.4417495476,75.91124509982158,75.91124509982158,208925.74658001668,46850.22716746124,20107.008493868932,161665.5129508142,316984.3805096472,447194.15030310117,38274.02302132492,7599.7369379506035,0.20864197874035298,27953.270346266134,28200.65782573263,38478.30488390783,142190.25250974667,306.3553730382609,-131.69826997535685,157.94089697270303,1324.6795339530054,170345.9386418226,201655.86724357767,-257.02057687791194,182921.76954510334,414856.7993480704,46784.63117246886,46491.2495340328,1230896.1718608828,0.17408223044326707,44229.8187099213,50887.56133720103,1295.4438899745726,265744.3172606744,207.05493122133558,2.296474121976644e-09,2.1391315385699272e-09,7.130438461899757e-14,57133.64954629908,47460.311035691724,591110.2187585386,0.16486666666666666,1088.0599549900912,-135.2335471192631,30664.153546910107,37047.809452474095,1156736.3577978723,282213.7342929835
2ea4_Math,1.4133547665551305e-09,5.474368760728777,69.845463336311,26.16335637307189,1281.3450267625471,3461.6661044125863,35.61623079710333,2193.1558215241976,36.25020339911055,597.1886301101482,181589.29589988117,733087.2291780018,29.008041305218278,125198.55200982517,1723.4526158487843,3426.0610160373676,881.9862003590705,268959.39375890495,151857.8156410524,2112.2098299586505,39.0019392763575,209458.71696534034,128172.0877470701,89634.33903037007,112108.07274451021,3780.3874319676333,72215.02775106502,137453.36188553474,96862.72978443756,-290.47547931225284,38482.37832012455,32368.819337476998,173261.11825611762,109416.50496192844,2261.650036920136,26.034341519781673,224860.71094043713,44786.24261546747,76.54001048355605,1238.7968820620072,149385.66215238874,68417.57587244584,35594.33228248034,1005977.1604145692,133783.82593846874,50.0,115976.41365458914,561.3102402421188,86.8619466544684,543535.6825459183,467468.8742788082,-833.144173918004,175438.32739407924,11150.602111261518,259125.86011043465,699828.0022867006,160367.9078500722,113.656001710109,820933.7167968574,544510.3481709367,2061249.1054969456,68.71059386969384,68.71059386969384,577963.6991232875,28386.79754198979,21197.15440428929,428191.9796504928,294809.3518726106,136218.52644818838,28065.054608908256,5498.793579129946,0.5479932013629815,57677.69431071413,16165.863724873123,14891.324824701709,170567.1637473308,255.80135284642517,-158.65643645276077,106.3764348456291,999.2706361865827,801907.6809842404,371352.40023006516,-291.1003290413225,258372.94290131767,402396.89351116854,12679.69599219077,34296.1367400126,1266349.4226554846,0.17984818974677658,44901.81975686484,110709.58528549217,-455.5975985163771,368208.94971356983,197.3576453670347,1.4133547665551305e-09,1.280568540096283e-09,4.268561800320943e-14,58594.58659657399,37970.81319867335,886440.3087468221,0.14983333333333335,-7.504416129551479,-125.60495970801668,26539.294607325297,39043.49040503,629209.0915301319,336679.25375971425
2ea4_Relax,8458.034093027856,4.849031972440309,67.73662686684702,20.488100357490517,844.7053459697715,2432.050491521206,27.62236523289165,1669.0634893360977,28.255119658978234,425.21577458256786,44295.48064184812,603173.5955364804,22.189258171467245,35527.30929185259,1049.760292547315,2449.1193327674705,557.4039606787069,188309.21898370323,63871.84377395779,1650.969719692515,30.18131236038192,41249.96181140652,97589.92802763214,49004.958592272334,44403.26454377469,2600.603050599208,34970.30016180234,96751.87300935079,33568.84021164589,-237.53822126898248,54084.16344613195,16580.694484685057,96215.0154526014,57662.82516882654,1691.999215066202,19.32474188515155,40640.263621912985,56781.03726309389,64.78414727430722,741.7263110930667,132790.04671138347,28021.521288506734,26305.030863166416,473205.9227029185,47677.26627711057,65.0,19316.83204920356,368.3161110570038,74.04746125741963,94763.49084363261,110398.9266260855,-680.2195988445079,106506.86564929524,16372.844639861309,472011.8366740523,156196.8728165357,83364.4117991039,98.01482657460734,152843.53648765126,259300.08934837833,1735007.4017470838,57.83550790849974,57.83550790849974,75137.22297273965,29371.428109436925,18578.902687432386,189093.34606751255,556215.2288879546,235427.4901708153,41319.14923572008,53958.261231790755,0.18827876053294285,41204.77481493353,38768.825909819236,10063.03955760956,203059.07297479606,239.49340852981737,-114.0833231610173,113.8379574733731,1088.7368989890524,223523.19692709215,109012.965354043,-220.08597547523453,662431.9361847265,716756.8798684032,11711.24127399647,31039.555959375848,452834.9067722788,0.1566906385619907,39198.71518142646,233748.4771211477,-185.6544126903063,406500.2351560579,172.3128986579614,8458.034093027856,8458.034093027847,0.2819344697675949,51147.23053554788,15074.832361889417,570605.3190831983,0.13483333333333333,-166.16454729346015,-113.70847020708868,8863.245337823888,35001.80199335567,507419.8809467195,234809.50747782653
2ea4_Stroop,1.6079866327345371e-09,1.5844787780182121,22.606167312110387,27.2577660450084,1324.1366720336823,3142.5185703956518,34.92844249524181,1922.5392586610765,36.01911892565567,582.1843697956734,106890.88084160825,428886.07204614615,29.08946861050285,164396.27878651433,1659.1557779815264,3272.1488740204854,813.0184107825773,36866.56889420348,140362.115476032,1975.2061147528684,37.403868060931785,189815.3247962985,211834.80787927881,128078.27164340913,10865.684325724773,3479.1943339910013,136916.4260936865,219705.46717419988,192446.841108495,-267.1156210962751,150147.49870553595,63961.418638738694,179515.52302584558,164201.98708566048,2082.049023897496,25.30386295719936,162358.74302828114,86954.10877930006,74.71467601478068,1172.2664679297402,172955.94685051855,99240.72431067015,102267.37348461727,119611.8606167653,108284.51997686208,48.0,160465.25533509348,532.0260175598632,85.20001982377532,319191.4374889698,158735.85281636313,-776.5238865028911,135879.698444983,113851.41537564689,292326.2083501384,91612.06485490105,178928.0154224537,110.8180097345913,120997.16668818191,38806.74403444104,2019086.6838511,67.30513296613555,67.30513296613555,98140.14867687006,93735.01581321067,96190.91624419052,190938.3181061554,352682.6681652252,223731.71116869716,86625.05261154323,105255.04614930447,0.21220317351289317,130454.03534080167,131496.70665943326,94302.84727943037,72985.21064299847,244.81884972196917,-110.03002257116408,118.58725995609338,1166.6976761221918,270274.7848632319,369865.09461480216,-213.18654769510363,111762.24146472837,22072.304339483228,90141.49079693141,117348.37048120741,910463.699966069,0.16911191331864167,41455.58555671241,294844.4899220469,-636.1240728938985,257584.41903705464,192.62622248609583,-1.6079866327345371e-09,-1.709850039333105e-09,-5.69950013111035e-14,54253.79540314274,96776.67649971395,439293.0582321787,0.15173333333333333,-551.501779189339,-127.19243761565069,93201.91592815545,35873.35801408714,381112.77221258235,279495.4673173324
2ea4_Video1,21636.69658106166,2.9983791220902622,44.73136475721093,21.191341090619627,815.8768113540232,2080.878895172644,27.893286437467875,1302.8563735030966,28.327138522199004,367.0382814352925,93306.89383407478,469170.9441312426,23.03915394644998,37390.41845199775,994.1760887023419,2107.2875701151797,463.37524692774264,411817.0529497437,201343.18282688363,1305.0563542311002,30.08213081023475,120193.23508865219,137279.9449881624,149989.64022795451,157016.06324458143,2377.005212966811,15636.170919006938,119864.06628282205,160663.6722780676,-213.54698363296177,103007.7167010187,81739.99695560444,199484.33836095472,150297.83129679968,1474.630553151258,20.782037012155136,190731.68383117454,42844.56681353397,62.84577995998221,751.7280928433604,163187.22359336333,38755.55011678942,62422.096243794644,371303.98284669645,75078.30426964302,71.0,177139.08879215826,319.8558297866687,72.17115302565276,87103.98097994599,650055.0247494706,-662.8618642496651,431561.7991168359,96140.498486879,183901.62114186562,4315.729029388774,164551.94008629498,95.36191179541349,188559.9299946959,203572.18420830608,1691843.8372962908,56.39667446569188,56.39667446569188,621720.4166374241,51588.840891120664,86477.26257720642,635247.585608111,349565.5621218749,142354.03919395697,73401.77446883183,63317.15275813265,0.1442196862233181,44104.158974537095,39240.68734200316,43112.01956807998,297562.48730644997,229.78346318905528,-103.17127570510931,114.41377466558887,1000.2408374758376,222361.22133110886,400848.8022267564,-182.54293478172102,1090541.7075365626,504988.3984969058,47618.67810278052,87630.9756255071,500678.7272518314,0.15214223929500686,32663.78090953068,188581.85247985795,-270.71305434188184,301933.7905177496,168.64126035698044,-21636.69658106166,-21636.69658106173,-0.7212232193687244,42924.088905890756,34307.793124015756,279412.5028334751,0.14413333333333334,128.900267443975,-98.36907837841122,48646.20026811218,28714.23300963128,196693.65066976435,150909.9626308411
2ea4_Video2,439.62462107714236,2.894854135816749,45.05737731822609,18.034428004068317,601.0362166361599,1806.7314009135948,24.183469448840686,1221.9686064460125,24.593085435836674,276.10458815792106,116658.22674053827,457041.2682026676,19.73196035489209,46346.56493136117,779.9320611518089,1837.0638944111847,390.67396905068364,232859.25821356417,35289.22786622992,1232.6986917228458,25.975936639003997,20375.23907013673,15146.727737664552,79118.30587203222,75646.44311570447,1953.490813898663,85440.77211874799,8347.027689935661,139894.84133580353,-198.11348950103286,22169.926319594808,20644.98396898708,35335.18739431406,15562.159044828797,1281.795636003321,17.785420848691146,132495.79494322062,8358.500401650781,59.419986369886495,584.1314361988441,95294.03145212526,66446.74954619724,59451.60750227479,371295.3999797479,77764.17984624779,75.0,30855.242351082852,267.8919283981062,69.0637816669246,211382.35777755434,338916.2765280305,-663.7212480995905,230061.32617500512,35521.991603554015,146379.97838746087,194160.91207800206,68659.58998553481,91.89288269218709,229106.39650172848,35817.220965371744,1594842.737703604,53.163196696676685,53.163196696676685,561576.6654463942,24295.905797741798,23714.240120374474,147185.26351060392,158937.4137038653,295160.7285873789,35316.41385894612,29872.752598315943,0.2858093146133003,50637.5569405682,27437.87828425644,25078.072795905824,136319.93734644857,210.83705770738203,-102.84055183746183,97.75603966453357,982.075506533245,192448.742045628,22785.364042553978,-194.57832735353804,463826.8523241839,84715.44729386065,29235.197806093067,23545.051130480868,160999.65328608695,0.14971597148849358,33270.73372200566,119818.12560257073,-5989.953650148766,352304.3404055308,163.97783089937366,-439.62462107714236,-439.62462107714964,-0.014654154035904988,43851.791384255266,50924.0183312868,233448.93726421284,0.1364,-5872.443637885275,-98.52375034301696,24589.848570559552,29740.05757111959,252458.30920955297,146655.62321209518
2hpu_Breathing,57281.67581805594,4.845844761155806,81.44608372673297,20.680758830639903,936.8303482935238,4603.569870875246,32.87352761792072,3535.49040825133,37.276889064223454,509.83717506132353,58450.465041740754,424712.7273971987,21.670785895234125,43937.182606585935,1053.6631839544125,5670.473304267855,584.0785501138945,93792.64563727114,31753.92445514782,4299.378370842993,47.315236736205854,109291.65123102443,66660.36012167894,43998.02891221539,84369.81246228964,8263.152907260159,59979.94096690826,103366.58125142146,34098.45524866874,-357.36429124710605,52523.65661822869,46205.913261136484,110288.74199833014,31718.848944803223,6051.666295798748,18.18047745961257,1003626.3571604167,34981.81339677578,100.56944074373024,663.3168717528335,60394.52570660984,28534.35099983795,25086.34496800204,3075153.0628811596,29002.71697403544,55.0,90698.67282094712,332.82107372229933,111.54824448655755,650908.922717113,403665.3387449574,-1211.0105960093363,70195.76775761199,18536.078562988292,2845467.2342885337,867513.5987834785,54970.256421599435,154.00713905226462,1747525.5533140192,1126109.509722905,3018087.9292198755,100.60628451681308,100.60628451681308,188550.8115071403,17058.05793473861,25473.53903774708,135349.0220952432,342522.4217501857,817215.5229573975,934.801684679952,36348.11256340464,0.18428952478740485,25707.453222870183,33973.419755259965,9771.730111073744,1372124.9343042907,427.41037419214825,-198.41259458596738,199.35536519459362,1926.9632156753532,1629400.978034129,9062.654059793145,-407.3765428003429,182630.59384867517,656985.4705306749,32714.317982347566,17524.060474682872,250562.63195782274,0.22252664006736322,87442.53216140537,79352.60622469035,-250.3601407153892,1128804.1766933517,288.2008325757723,-57281.67581805594,-57281.67581805589,-1.9093891939351963,106027.77671100615,43185.80341397895,2049782.0455922098,0.1341,-281.38693127845687,-145.90553214283258,16186.435258782321,77330.32904205992,1424132.253581763,1281781.04647489
2hpu_Counting1,1.7262209439650178e-09,4.911140053712075,81.03004297495538,52.09907514405725,6778.44728653984,18230.60324874823,65.46763384246454,13969.06862542275,65.92300153824556,4070.7546535817314,477600.0727713249,417937.53785394155,54.715959309627074,343101.48608949763,9331.154705577319,15678.017376576974,6356.425300989174,420251.8655689636,458960.1559429569,11365.289027430907,57.5922630643894,571619.0819816258,162253.15119789366,467234.46701229457,370924.6053420062,9825.02534746536,183967.59817774812,422579.13658300746,707745.358783483,-1194.5287204380872,483241.82414560975,284267.95814519865,890514.7263470619,355004.8104248218,6526.247869965911,40.84501052489778,1565371.7120059484,350005.7754124265,167.00859037581978,3768.399721705114,419142.4739499372,427381.8412130725,340145.96593965456,512410.2004940646,757797.9210660596,25.0,1292037.8672211356,2104.1426340314147,192.7662663755135,646082.6906500304,1946025.5431038241,-1646.4152072808897,323750.7940967595,235270.95637535283,380661.2087286956,1260683.60497328,452920.8162575967,249.94435291683737,1617700.3640046583,729411.0739648214,4666356.655580653,155.55040686625063,155.55040686625063,1166699.0086473487,435823.8597770632,316659.40246625076,1913.4404374368867,1054232.827058793,1297600.1075688633,369954.7647135377,379581.12902749714,2.0143974546525483,209378.93295945443,429229.6109780086,309447.10921365616,1423857.1684196598,606.2823896361268,-312.6038398975037,274.2605140133182,2841.4516771173517,1115205.3619403136,326796.73097886116,-642.1593339623658,303965.8121726779,2840696.874873855,362472.0459514837,223375.0020918127,1064134.4343389503,0.3214228832845179,154521.47320350425,264628.7903563297,-266.81654372445246,547615.3373966462,442.46152808178584,1.7262209439650178e-09,1.760781742632389e-09,5.869272475441297e-14,191945.53189375618,180697.82888841556,460967.4091876843,0.1681,-250.6431250009117,-726.9701357348852,180856.44954819136,126631.91960515537,558219.972199274,1612288.866224425
2hpu_Counting2,3.892637323588133e-09,1.6721725207277998,26.866200900827824,28.303294614426015,1874.1861976655453,11579.766777213908,48.83054775119341,9219.586166287376,52.30903663257753,1081.3092681855976,405031.5703393233,307311.4116568598,32.21861958447375,215276.2527352982,2665.5498679492066,12025.328913591671,1627.650350158383,391761.4745829169,233983.31161953733,9331.066224997394,62.820598764043275,513673.06166287995,179746.66064734908,341681.26560056256,311301.83436452644,13931.70569517708,331062.5336515233,289366.5490027347,188218.16361516798,-861.5446922273253,272392.51703635685,180212.6327729557,187234.98382766455,426833.2133744608,10065.730232787822,29.403990974453187,3765760.198072127,329204.6084791046,135.8402114133378,1792.906338945065,342124.8886759009,47118.001031792766,202406.45455304542,1152307.786347382,61731.32355183288,40.0,439855.24107409857,932.0026494228922,149.45754127010656,1838186.523987091,4215207.57863858,-1586.7088798668537,127390.3055684166,63947.240900696495,1106674.0664969725,2775241.2731348057,177560.32173574957,204.24607129365376,3658454.3753933804,2855648.651188829,3914554.1585015524,130.4894882663273,130.4894882663273,3397427.9221246955,88755.20393926535,286137.22280964773,121447.9562792682,984016.6931841534,3412466.361106846,67943.31677584414,137247.62748640752,1.9211964250308797,186141.8576909989,68738.0044524133,21390.3877666763,2829309.566615016,545.0107308293916,-257.2572290438601,263.07316117817555,2325.171378852318,950555.695492796,303074.32678452454,-542.014204160202,250617.33197307205,3378107.945444286,108578.99005849776,124015.92250862705,650152.1547029513,0.2954378541974314,128446.29128540485,311304.9798116393,196.37277082986432,1816923.411375411,372.79298496884803,-3.892637323588133e-09,-3.9217411540448666e-09,-1.3072470513482888e-13,153377.7749418262,52691.3806139245,713799.9740044333,0.15883333333333333,168.83268054192862,-353.5169674918535,34760.602488936514,109996.78667395041,1154694.7536494022,495645.02538030496
