subject/task,binary-stress,affect3-class,affect4-class
hh2e-Breathing,0,0,0
hh2e-Counting1,0,0,0
hh2e-Counting2,1,2,2
hh2e-Counting3,1,0,0
hh2e-Math,1,0,0
hh2e-Reading,0,0,0
hh2e-Relax,1,0,0
hh2e-Speaking,1,0,0
hh2e-Stroop,1,0,0
hh2e-Video1,0,0,0
hh2e-Video2,0,0,0
wfsl-Breathing,0,0,0
wfsl-Counting1,1,2,2
wfsl-Counting2,1,2,2
wfsl-Counting3,1,2,2
wfsl-Math,1,2,2
wfsl-Reading,0,1,1
wfsl-Speaking,0,0,0
wfsl-Stroop,1,2,2
wfsl-Video1,0,0,0
wfsl-Video2,1,1,1
37ir-Breathing,0,0,0
37ir-Counting1,0,1,1
37ir-Counting2,1,2,2
37ir-Counting3,1,1,1
37ir-Math,0,1,3
37ir-Reading,1,2,2
37ir-Relax,0,1,3
37ir-Speaking,1,2,2
37ir-Stroop,1,2,2
37ir-Video1,0,1,3
37ir-Video2,0,1,3
hvpa-Breathing,0,1,3
hvpa-Counting1,0,1,3
hvpa-Counting2,0,1,3
hvpa-Counting3,0,1,3
hvpa-Math,0,1,3
hvpa-Reading,1,1,1
hvpa-Relax,0,0,0
hvpa-Speaking,0,1,3
hvpa-Stroop,0,1,3
hvpa-Video1,0,1,3
hvpa-Video2,0,1,3
ql3b-Breathing,0,0,0
ql3b-Counting1,0,1,3
ql3b-Counting2,1,1,1
ql3b-Counting3,1,1,1
ql3b-Math,1,1,1
ql3b-Reading,1,1,1
ql3b-Relax,0,1,3
ql3b-Speaking,1,1,1
ql3b-Stroop,1,1,1
ql3b-Video1,0,0,0
ql3b-Video2,1,1,1
r0a3-Breathing,0,0,0
r0a3-Counting1,0,0,0
r0a3-Counting2,1,1,1
r0a3-Counting3,1,2,2
r0a3-Math,1,0,0
r0a3-Reading,1,0,0
r0a3-Relax,0,0,0
r0a3-Speaking,0,1,3
r0a3-Stroop,1,1,1
r0a3-Video1,1,1,1
r0a3-Video2,0,1,1
qx2o-Breathing,0,0,0
qx2o-Counting1,0,0,0
qx2o-Counting2,1,1,1
qx2o-Counting3,1,1,1
qx2o-Math,1,1,1
qx2o-Reading,0,0,0
qx2o-Relax,0,1,1
qx2o-Speaking,1,2,2
qx2o-Stroop,0,0,0
qx2o-Video1,0,0,0
qx2o-Video2,0,0,0
wssm-Breathing,0,0,0
wssm-Counting1,1,2,2
wssm-Counting2,1,2,2
wssm-Counting3,0,1,3
wssm-Math,0,1,3
wssm-Reading,0,1,3
wssm-Relax,0,0,0
wssm-Speaking,1,2,2
wssm-Stroop,0,1,3
wssm-Video1,0,0,0
wssm-Video2,0,0,0
ctzy-Breathing,0,1,3
ctzy-Counting1,1,1,1
ctzy-Counting2,1,1,1
ctzy-Counting3,1,1,1
ctzy-Math,1,1,1
ctzy-Reading,1,2,2
ctzy-Relax,0,0,0
ctzy-Speaking,1,1,1
ctzy-Stroop,1,1,1
ctzy-Video1,1,2,2
ctzy-Video2,1,1,1
uyrl-Breathing,0,0,0
uyrl-Counting1,0,1,3
uyrl-Counting2,0,0,0
uyrl-Counting3,1,1,1
uyrl-Math,1,1,1
uyrl-Reading,0,1,3
uyrl-Relax,0,0,0
uyrl-Speaking,1,1,1
uyrl-Stroop,1,1,1
uyrl-Video1,0,1,3
uyrl-Video2,0,1,3
v8mh-Breathing,0,0,0
v8mh-Counting1,1,2,2
v8mh-Counting2,1,2,2
v8mh-Counting3,1,2,2
v8mh-Math,0,1,1
v8mh-Reading,1,1,1
v8mh-Relax,0,0,0
v8mh-Speaking,0,1,3
v8mh-Stroop,1,2,2
v8mh-Video1,0,1,3
v8mh-Video2,0,1,3
45lx-Breathing,0,0,0
45lx-Counting1,1,1,1
45lx-Counting2,1,1,1
45lx-Counting3,1,1,1
45lx-Math,0,1,3
45lx-Reading,0,1,3
45lx-Relax,0,0,0
45lx-Speaking,1,2,2
45lx-Stroop,1,1,1
45lx-Video1,0,0,0
45lx-Video2,0,1,1
r3zm-Breathing,0,0,0
r3zm-Counting1,0,1,1
r3zm-Counting2,1,1,1
r3zm-Counting3,1,2,2
r3zm-Math,1,1,1
r3zm-Reading,1,2,2
r3zm-Relax,0,0,0
r3zm-Speaking,0,0,0
r3zm-Stroop,1,2,2
r3zm-Video1,1,2,2
r3zm-Video2,1,2,2
2hpu-Breathing,0,0,0
2hpu-Counting1,1,1,1
2hpu-Counting2,1,1,1
2hpu-Counting3,0,1,1
2hpu-Math,0,1,3
2hpu-Reading,0,1,3
2hpu-Relax,0,1,3
2hpu-Speaking,1,2,2
2hpu-Stroop,1,1,1
2hpu-Video1,0,1,3
2hpu-Video2,0,1,3
4woj-Breathing,0,0,0
4woj-Counting1,1,2,2
4woj-Counting2,0,1,3
4woj-Counting3,0,1,1
4woj-Math,0,1,3
4woj-Reading,1,1,1
4woj-Relax,0,0,0
4woj-Speaking,1,2,2
4woj-Stroop,0,1,3
4woj-Video1,0,1,3
4woj-Video2,0,1,3
cxj0-Breathing,1,1,1
cxj0-Counting1,1,1,1
cxj0-Counting2,1,2,2
cxj0-Counting3,1,1,1
cxj0-Math,1,1,1
cxj0-Reading,0,0,0
cxj0-Relax,0,0,0
cxj0-Speaking,0,1,3
cxj0-Stroop,1,1,1
cxj0-Video1,0,0,0
cxj0-Video2,0,1,3
tmvd-Breathing,0,0,0
tmvd-Counting1,0,1,3
tmvd-Counting2,0,1,3
tmvd-Counting3,0,1,1
tmvd-Math,1,1,1
tmvd-Reading,0,1,3
tmvd-Relax,0,0,0
tmvd-Speaking,0,2,2
tmvd-Stroop,0,1,3
tmvd-Video1,0,0,0
tmvd-Video2,0,0,0
2ea4-Breathing,0,0,0
2ea4-Counting1,1,1,1
2ea4-Counting2,1,1,1
2ea4-Counting3,1,1,1
2ea4-Math,1,1,1
2ea4-Reading,0,1,3
2ea4-Relax,0,0,0
2ea4-Speaking,1,1,1
2ea4-Stroop,0,1,3
2ea4-Video1,0,1,3
2ea4-Video2,0,1,3
71i5-Breathing,0,0,0
71i5-Counting1,1,1,1
71i5-Counting2,1,2,2
71i5-Counting3,0,1,1
71i5-Math,1,2,2
71i5-Reading,0,1,3
71i5-Relax,0,1,3
71i5-Speaking,0,1,3
71i5-Stroop,1,1,1
71i5-Video1,0,1,1
71i5-Video2,1,1,1
kkf5-Breathing,0,0,0
kkf5-Counting1,1,1,1
kkf5-Counting2,1,1,1
kkf5-Counting3,0,1,3
kkf5-Math,1,1,1
kkf5-Reading,1,2,2
kkf5-Relax,0,0,0
kkf5-Speaking,1,1,1
kkf5-Stroop,1,2,2
kkf5-Video1,1,1,1
kkf5-Video2,1,1,1
uymz-Breathing,0,0,0
uymz-Counting1,0,1,3
uymz-Counting2,0,1,3
uymz-Counting3,1,2,2
uymz-Math,0,1,1
uymz-Reading,0,1,1
uymz-Relax,0,1,1
uymz-Speaking,0,1,3
uymz-Stroop,0,1,1
uymz-Video1,0,1,3
uymz-Video2,0,0,0
iqyg-Breathing,0,0,0
iqyg-Counting1,1,1,1
iqyg-Counting2,1,1,1
iqyg-Counting3,1,1,1
iqyg-Math,1,1,1
iqyg-Reading,1,1,1
iqyg-Relax,0,0,0
iqyg-Speaking,1,2,2
iqyg-Stroop,1,2,2
iqyg-Video1,1,1,1
iqyg-Video2,0,0,0
9txq-Breathing,0,0,0
9txq-Counting1,1,1,1
9txq-Counting2,1,2,2
9txq-Counting3,1,2,2
9txq-Math,1,2,2
9txq-Reading,0,1,3
9txq-Relax,0,0,0
9txq-Speaking,1,1,1
9txq-Stroop,1,1,1
9txq-Video1,1,1,1
9txq-Video2,1,2,2
kycf-Breathing,0,0,0
kycf-Counting1,0,1,1
kycf-Counting2,1,1,1
kycf-Counting3,0,1,3
kycf-Math,0,1,1
kycf-Reading,0,1,3
kycf-Relax,0,0,0
kycf-Speaking,1,1,1
kycf-Stroop,1,1,1
kycf-Video1,0,1,3
kycf-Video2,0,1,1
k67g-Breathing,0,0,0
k67g-Counting1,0,0,0
k67g-Counting2,0,1,1
k67g-Counting3,1,1,1
k67g-Math,0,1,1
k67g-Reading,0,0,0
k67g-Relax,0,0,0
k67g-Speaking,1,1,1
k67g-Stroop,1,1,1
k67g-Video1,0,1,3
k67g-Video2,1,1,1
chdf-Breathing,0,1,3
chdf-Counting1,0,1,3
chdf-Counting2,1,1,1
chdf-Counting3,1,1,1
chdf-Math,1,1,1
chdf-Reading,0,1,3
chdf-Relax,0,0,0
chdf-Speaking,0,1,1
chdf-Stroop,1,1,1
chdf-Video1,0,1,1
chdf-Video2,0,1,3
bfl5-Breathing,0,1,3
bfl5-Counting1,0,1,3
bfl5-Counting2,0,1,3
bfl5-Counting3,1,1,1
bfl5-Math,0,1,3
bfl5-Reading,0,2,2
bfl5-Relax,0,0,0
bfl5-Speaking,0,1,3
bfl5-Stroop,1,2,2
bfl5-Video1,0,1,3
bfl5-Video2,0,1,3
dmbd-Breathing,0,1,3
dmbd-Counting1,1,1,1
dmbd-Counting2,1,0,0
dmbd-Counting3,0,1,3
dmbd-Math,1,2,2
dmbd-Reading,0,1,3
dmbd-Relax,0,1,3
dmbd-Speaking,0,1,3
dmbd-Stroop,0,1,1
dmbd-Video1,0,1,3
dmbd-Video2,1,2,2
8g4y-Breathing,0,0,0
8g4y-Counting1,0,1,3
8g4y-Counting2,0,1,1
8g4y-Counting3,0,1,1
8g4y-Math,0,1,1
8g4y-Reading,1,1,1
8g4y-Relax,0,0,0
8g4y-Speaking,1,1,1
8g4y-Stroop,0,1,1
8g4y-Video1,0,1,3
8g4y-Video2,0,1,1
qw5t-Breathing,0,0,0
qw5t-Counting1,1,1,1
qw5t-Counting2,1,1,1
qw5t-Counting3,1,1,1
qw5t-Math,1,1,1
qw5t-Reading,1,1,1
qw5t-Relax,0,0,0
qw5t-Speaking,1,1,1
qw5t-Stroop,1,1,1
qw5t-Video1,1,1,1
qw5t-Video2,1,2,2
h8r2-Breathing,0,0,0
h8r2-Counting1,1,1,1
h8r2-Counting2,1,2,2
h8r2-Counting3,1,2,2
h8r2-Math,1,1,1
h8r2-Reading,0,1,3
h8r2-Relax,0,0,0
h8r2-Speaking,1,2,2
h8r2-Stroop,0,1,1
h8r2-Video1,0,1,3
h8r2-Video2,0,1,1
2z7d-Breathing,1,1,1
2z7d-Counting1,1,2,2
2z7d-Counting2,1,2,2
2z7d-Counting3,1,2,2
2z7d-Math,1,1,1
2z7d-Reading,1,2,2
2z7d-Relax,0,0,0
2z7d-Speaking,1,2,2
2z7d-Stroop,1,1,1
2z7d-Video1,0,1,3
2z7d-Video2,1,1,1
j9h8-Breathing,1,1,1
j9h8-Counting1,1,2,2
j9h8-Counting2,1,1,1
j9h8-Counting3,1,1,1
j9h8-Math,1,1,1
j9h8-Reading,0,0,0
j9h8-Relax,0,1,3
j9h8-Speaking,1,1,1
j9h8-Stroop,1,2,2
j9h8-Video1,0,1,3
j9h8-Video2,1,1,1
9t6n-Breathing,0,1,3
9t6n-Counting1,1,2,2
9t6n-Counting2,1,2,2
9t6n-Counting3,1,2,2
9t6n-Math,1,2,2
9t6n-Reading,1,1,1
9t6n-Relax,0,1,3
9t6n-Speaking,1,1,1
9t6n-Stroop,1,1,1
9t6n-Video1,0,1,1
9t6n-Video2,1,1,1
u3v9-Breathing,0,1,1
u3v9-Counting1,0,1,3
u3v9-Counting2,0,1,1
u3v9-Counting3,0,1,3
u3v9-Math,1,1,1
u3v9-Reading,0,1,3
u3v9-Relax,0,1,3
u3v9-Speaking,0,1,1
u3v9-Stroop,1,1,1
u3v9-Video1,0,1,1
u3v9-Video2,0,1,1
w2t5-Breathing,0,0,0
w2t5-Counting1,1,2,2
w2t5-Counting2,1,1,1
w2t5-Counting3,1,1,1
w2t5-Math,1,1,1
w2t5-Reading,1,1,1
w2t5-Relax,0,1,1
w2t5-Speaking,1,1,1
w2t5-Stroop,0,1,3
w2t5-Video1,0,1,3
w2t5-Video2,0,1,1
7m3c-Breathing,0,0,0
7m3c-Counting1,1,2,2
7m3c-Counting2,1,2,2
7m3c-Counting3,1,2,2
7m3c-Math,0,1,3
7m3c-Reading,0,1,3
7m3c-Relax,0,1,1
7m3c-Speaking,1,1,1
7m3c-Stroop,0,1,3
7m3c-Video1,1,2,2
7m3c-Video2,1,1,1
6k5f-Breathing,0,1,3
6k5f-Counting1,1,2,2
6k5f-Counting2,1,2,2
6k5f-Counting3,0,2,2
6k5f-Math,0,1,3
6k5f-Reading,0,1,3
6k5f-Relax,1,2,2
6k5f-Speaking,1,2,2
6k5f-Stroop,0,2,2
6k5f-Video1,0,1,3
6k5f-Video2,0,1,1
x1q3-Breathing,0,1,3
x1q3-Counting1,1,1,1
x1q3-Counting2,1,1,1
x1q3-Counting3,1,1,1
x1q3-Math,1,1,1
x1q3-Reading,1,1,1
x1q3-Relax,0,1,3
x1q3-Speaking,1,1,1
x1q3-Stroop,1,1,1
x1q3-Video1,1,1,1
x1q3-Video2,1,2,2
r5s8-Breathing,0,1,1
r5s8-Counting1,0,1,1
r5s8-Counting2,1,2,2
r5s8-Counting3,1,2,2
r5s8-Math,0,1,3
r5s8-Reading,0,1,1
r5s8-Relax,0,1,1
r5s8-Speaking,0,1,3
r5s8-Stroop,1,1,1
r5s8-Video1,0,1,3
r5s8-Video2,0,0,0
y9z6-Breathing,0,0,0
y9z6-Counting1,0,1,1
y9z6-Counting2,1,1,1
y9z6-Counting3,0,1,3
y9z6-Math,0,2,2
y9z6-Reading,0,1,3
y9z6-Relax,0,0,0
y9z6-Speaking,1,2,2
y9z6-Stroop,1,1,1
y9z6-Video1,0,2,2
y9z6-Video2,0,1,3
4e8r-Breathing,0,0,0
4e8r-Counting1,0,1,3
4e8r-Counting2,0,1,3
4e8r-Counting3,0,1,1
4e8r-Math,0,1,3
4e8r-Reading,0,1,1
4e8r-Relax,0,0,0
4e8r-Speaking,0,1,1
4e8r-Stroop,0,1,3
4e8r-Video1,0,1,3
4e8r-Video2,0,1,1
5f7t-Breathing,0,0,0
5f7t-Counting1,0,1,3
5f7t-Counting2,0,1,1
5f7t-Counting3,0,1,3
5f7t-Math,0,2,2
5f7t-Reading,0,1,3
5f7t-Relax,0,0,0
5f7t-Speaking,0,1,1
5f7t-Stroop,0,1,1
5f7t-Video1,0,1,3
5f7t-Video2,0,1,3
k2v7-Breathing,0,1,1
k2v7-Counting1,1,1,1
k2v7-Counting2,1,1,1
k2v7-Counting3,1,1,1
k2v7-Math,1,1,1
k2v7-Reading,1,1,1
k2v7-Relax,0,1,3
k2v7-Speaking,1,1,1
k2v7-Stroop,1,1,1
k2v7-Video1,0,1,3
k2v7-Video2,0,2,2
6g6y-Breathing,0,0,0
6g6y-Counting1,0,0,0
6g6y-Counting2,1,2,2
6g6y-Counting3,1,1,1
6g6y-Math,1,2,2
6g6y-Reading,1,1,1
6g6y-Relax,0,0,0
6g6y-Speaking,1,2,2
6g6y-Stroop,1,1,1
6g6y-Video1,1,1,1
6g6y-Video2,0,2,2
9j3o-Breathing,0,0,0
9j3o-Counting1,1,1,1
9j3o-Counting2,1,1,1
9j3o-Counting3,1,1,1
9j3o-Math,1,1,1
9j3o-Reading,1,1,1
9j3o-Relax,0,0,0
9j3o-Speaking,1,1,1
9j3o-Stroop,1,1,1
9j3o-Video1,0,0,0
9j3o-Video2,0,0,0
8i4i-Breathing,0,1,3
8i4i-Counting1,0,1,3
8i4i-Counting2,0,1,3
8i4i-Counting3,0,1,3
8i4i-Math,0,1,3
8i4i-Reading,0,1,3
8i4i-Relax,0,1,3
