Task(hh2e_Breathing) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 5.0, Relaxed: 6.0] [Valence: None, Arousal: None
Task(hh2e_Counting1) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 5.0, Relaxed: 6.0] [Valence: None, Arousal: None
Task(hh2e_Counting2) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 7.0, Relaxed: 3.0] [Valence: None, Arousal: None
Task(hh2e_Counting3) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 7.0, Relaxed: 5.0] [Valence: None, Arousal: None
Task(hh2e_Math) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 6.0, Relaxed: 5.0] [Valence: None, Arousal: None
Task(hh2e_Reading) B(NoStressed[0]) T(Relaxed[0]) Q(Relaxed[0]) - [Stressed: 4.0, Relaxed: 8.0] [Valence: None, Arousal: None
Task(hh2e_Relax) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 6.0, Relaxed: 6.0] [Valence: None, Arousal: None
Task(hh2e_Speaking) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 6.0, Relaxed: 6.0] [Valence: None, Arousal: None
Task(hh2e_Stroop) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 6.0, Relaxed: 6.0] [Valence: None, Arousal: None
Task(hh2e_Video1) B(NoStressed[0]) T(Relaxed[0]) Q(Relaxed[0]) - [Stressed: 2.0, Relaxed: 8.0] [Valence: None, Arousal: None
Task(hh2e_Video2) B(NoStressed[0]) T(Relaxed[0]) Q(Relaxed[0]) - [Stressed: 3.0, Relaxed: 7.0] [Valence: None, Arousal: None
Task(wfsl_Breathing) B(NoStressed[0]) T(Relaxed[0]) Q(Relaxed[0]) - [Stressed: 4.0, Relaxed: 6.0] [Valence: 8.0, Arousal: 3.0
Task(wfsl_Counting1) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 9.0, Relaxed: 1.0] [Valence: 2.0, Arousal: 8.0
Task(wfsl_Counting2) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 10.0, Relaxed: 0.0] [Valence: 1.0, Arousal: 9.0
Task(wfsl_Counting3) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 7.0, Relaxed: 3.0] [Valence: 3.0, Arousal: 6.0
Task(wfsl_Math) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 6.0, Relaxed: 2.0] [Valence: 3.0, Arousal: 6.0
Task(wfsl_Reading) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 5.0, Relaxed: 3.0] [Valence: 5.0, Arousal: 6.0
Task(wfsl_Speaking) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 4.0, Relaxed: 5.0] [Valence: 5.0, Arousal: 5.0
Task(wfsl_Stroop) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 7.0, Relaxed: 4.0] [Valence: 4.0, Arousal: 7.0
Task(wfsl_Video1) B(NoStressed[0]) T(Relaxed[0]) Q(Relaxed[0]) - [Stressed: 3.0, Relaxed: 6.0] [Valence: 7.0, Arousal: 2.0
Task(wfsl_Video2) B(Stressed[1]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 7.0, Relaxed: 4.0] [Valence: 4.0, Arousal: 2.0
Task(37ir_Breathing) B(NoStressed[0]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 2.0, Relaxed: 9.0] [Valence: 5.0, Arousal: 3.0
Task(37ir_Counting1) B(NoStressed[0]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 4.0, Relaxed: 3.0] [Valence: 4.0, Arousal: 8.0
Task(37ir_Counting2) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 6.0, Relaxed: 2.0] [Valence: 3.0, Arousal: 9.0
Task(37ir_Counting3) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 6.0, Relaxed: 5.0] [Valence: 5.0, Arousal: 8.0
Task(37ir_Math) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 3.0, Relaxed: 6.0] [Valence: 6.0, Arousal: 8.0
Task(37ir_Reading) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 7.0, Relaxed: 3.0] [Valence: 3.0, Arousal: 7.0
Task(37ir_Relax) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 1.0, Relaxed: 7.0] [Valence: 7.0, Arousal: 6.0
Task(37ir_Speaking) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 8.0, Relaxed: 1.0] [Valence: 2.0, Arousal: 8.0
Task(37ir_Stroop) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 7.0, Relaxed: 1.0] [Valence: 2.0, Arousal: 9.0
Task(37ir_Video1) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 3.0, Relaxed: 3.0] [Valence: 8.0, Arousal: 8.0
Task(37ir_Video2) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 4.0, Relaxed: 5.0] [Valence: 5.0, Arousal: 8.0
Task(hvpa_Breathing) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 1.0, Relaxed: 9.0] [Valence: 7.0, Arousal: 8.0
Task(hvpa_Counting1) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 3.0, Relaxed: 6.0] [Valence: 7.0, Arousal: 7.0
Task(hvpa_Counting2) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 4.0, Relaxed: 5.0] [Valence: 7.0, Arousal: 8.0
Task(hvpa_Counting3) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 3.0, Relaxed: 5.0] [Valence: 7.0, Arousal: 8.0
Task(hvpa_Math) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 4.0, Relaxed: 5.0] [Valence: 7.0, Arousal: 7.0
Task(hvpa_Reading) B(Stressed[1]) T(RealStress[2]) Q(RealStress[2]) - [Stressed: 6.0, Relaxed: 7.0] [Valence: 5.0, Arousal: 8.0
Task(hvpa_Relax) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 2.0, Relaxed: 6.0] [Valence: 6.0, Arousal: 5.0
Task(hvpa_Speaking) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 3.0, Relaxed: 6.0] [Valence: 7.0, Arousal: 8.0
Task(hvpa_Stroop) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 3.0, Relaxed: 5.0] [Valence: 7.0, Arousal: 8.0
Task(hvpa_Video1) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 1.0, Relaxed: 7.0] [Valence: 7.0, Arousal: 7.0
Task(hvpa_Video2) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 1.0, Relaxed: 7.0] [Valence: 7.0, Arousal: 6.0
Task(ql3b_Breathing) B(NoStressed[0]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 1.0, Relaxed: 10.0] [Valence: 5.0, Arousal: 2.0
Task(ql3b_Counting1) B(NoStressed[0]) T(Stressed[1]) Q(Amused[3]) - [Stressed: 2.0, Relaxed: 4.0] [Valence: 6.0, Arousal: 6.0
Task(ql3b_Counting2) B(Stressed[1]) T(Stressed[1]) Q(Stressed[1]) - [Stressed: 7.0, Relaxed: 4.0] [Valence: 6.0, Arousal: 6.0
